Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
34,0.47313404083251953,1.7097528152982942e-9,71.86124240854475,true
29,0.22600007057189941,5.066815265387573e-10,128.31854400140097,true
32,0.04808306694030762,4.041376732163278e-9,665.5149522746993,true
30,0.04694199562072754,4.132444902357414e-10,639.0865919375892,true
34,0.049529075622558594,2.8417681633497732e-9,686.4654664484452,true
31,0.04396200180053711,4.662287626932126e-10,705.1544226910353,true
29,0.04142117500305176,1.68876666699716e-9,700.1249964025258,true
38,0.05492210388183594,8.443207629812863e-11,691.8890085084216,true
37,0.05421113967895508,4.903222697239571e-9,682.5165495342558,true
37,0.05421590805053711,5.118693417676625e-9,682.4565211655336,true
36,0.05245208740234375,2.4865624142214256e-9,686.3406545454545,true
37,0.053717851638793945,6.137772415359787e-9,688.7840610006701,true
35,0.05050086975097656,8.066066467726178e-9,693.0573705480228,true
38,0.05556893348693848,1.7962404711502808e-10,683.8353305616695,true
35,0.050614118576049805,3.002126196330946e-9,691.5066583133529,true
37,0.055954933166503906,5.748085320575357e-9,661.2464336236429,true
38,0.057760000228881836,8.665080184466477e-9,657.8947342351081,true
41,0.061456918716430664,1.1646717762688854e-9,667.1339998215457,true
39,0.05673694610595703,9.625062794314866e-9,687.3827845292724,true
37,0.05347585678100586,9.952056850502325e-9,691.9010227647641,true
38,0.05572199821472168,2.5506154251666527e-9,681.9568791048927,true
36,0.05196404457092285,1.525965936699578e-9,692.7867200726762,true
36,0.05246686935424805,2.7136662603150405e-9,686.1472857649208,true
35,0.0505521297454834,3.2906977522503526e-9,692.3546085242252,true
36,0.05196213722229004,5.6893746112381296e-9,692.8121498543211,true
38,0.0551447868347168,5.904819087368108e-9,689.0950565081671,true
37,0.053614139556884766,7.992443618849641e-10,690.1164563266541,true
39,0.05660104751586914,2.678806005413659e-10,689.0331842191725,true
38,0.05551004409790039,8.164269238537902e-9,684.5607964746206,true
39,0.056427955627441406,4.6353587985852275e-9,691.1467829437712,true
