Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
33,0.3994729518890381,3.8463578362657e-9,82.60884709202148,true
29,0.045866966247558594,5.066815265387573e-10,632.2633121946149,true
33,0.19452810287475586,5.01580534386716e-9,169.6412986726477,true
30,0.012362003326416016,4.132444902357414e-10,2426.7911282545806,true
33,0.012083053588867188,6.238416920120273e-9,2731.09771112865,true
31,0.011924028396606445,4.662287626932126e-10,2599.7925339411754,true
29,0.009023904800415039,1.68876666699716e-9,3213.6863853734576,true
32,0.010732173919677734,5.2759257133704555e-9,2981.6885413426935,true
36,0.012495994567871094,1.7791142599623234e-9,2880.923147370831,true
37,0.013772010803222656,1.6421738276366513e-9,2686.60840662004,true
38,0.012562990188598633,7.518733225739207e-9,3024.7575958856014,true
35,0.011697053909301758,3.4823394229558055e-9,2992.2064368846945,true
34,0.01217198371887207,7.162786055802172e-10,2793.2998256713613,true
38,0.013319015502929688,3.692138326056454e-9,2853.063726192181,true
39,0.013138055801391602,1.0074229518332762e-9,2968.4757463025135,true
36,0.012022018432617188,6.417336031109141e-9,2994.5054735840076,true
36,0.012217044830322266,3.726925491884445e-10,2946.702782873424,true
36,0.012280941009521484,8.979545955254971e-9,2931.3714618520676,true
36,0.012264013290405273,9.930159233987311e-9,2935.4175625498165,true
37,0.012341976165771484,9.777320298425657e-9,2997.8991616118687,true
39,0.014405965805053711,8.181822496176745e-10,2707.211757112358,true
38,0.012373924255371094,4.099608643067653e-9,3070.974026974952,true
36,0.012341976165771484,6.006747867353008e-9,2916.874859946683,true
36,0.012295007705688477,2.4604009383604126e-9,2928.01768504334,true
35,0.012143135070800781,6.283354319839187e-9,2882.2869708631115,true
36,0.011941909790039062,8.612678605762937e-9,3014.5931959750837,true
37,0.012525081634521484,7.124830734020267e-9,2954.0725625309324,true
37,0.012217998504638672,3.077208806693879e-9,3028.3192444288334,true
38,0.013715982437133789,4.862512080422697e-9,2770.490569973405,true
38,0.012364864349365234,8.007061597999583e-9,3073.224171840654,true
