iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
4,7.390975952148438e-5,5.880033361307237e-13,54120.051612903226,true
4,5.0067901611328125e-5,5.880033361307237e-13,79891.50476190477,true
4,1.3113021850585938e-5,5.879843963118749e-13,305040.2909090909,true
4,1.1205673217773438e-5,5.880033361307237e-13,356962.0425531915,true
4,1.0013580322265625e-5,5.879843963118749e-13,399457.5238095238,true
4,9.059906005859375e-6,5.879843963118749e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,8.821487426757812e-6,5.879843963118749e-13,453438.2702702703,true
4,1.0013580322265625e-5,5.880033361307237e-13,399457.5238095238,true
4,8.821487426757812e-6,5.880033361307237e-13,453438.2702702703,true
4,1.0013580322265625e-5,5.880033361307237e-13,399457.5238095238,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,1.0013580322265625e-5,5.879843963118749e-13,399457.5238095238,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.879843963118749e-13,441505.6842105263,true
4,8.821487426757812e-6,5.879843963118749e-13,453438.2702702703,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,8.821487426757812e-6,5.879843963118749e-13,453438.2702702703,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,1.0013580322265625e-5,5.880033361307237e-13,399457.5238095238,true
4,1.0013580322265625e-5,5.880033361307237e-13,399457.5238095238,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,8.106231689453125e-6,5.880033361307237e-13,493447.5294117647,true
4,9.059906005859375e-6,5.880033361307237e-13,441505.6842105263,true
4,8.821487426757812e-6,5.879843963118749e-13,453438.2702702703,true
