iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
9,7.987022399902344e-5,1.7763568394019445e-9,112682.79402985075,true
14,8.511543273925781e-5,0.0,164482.50980392157,true
9,2.6941299438476562e-5,8.881784197009723e-10,334059.610619469,true
10,2.6941299438476562e-5,0.0,371177.34513274336,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
9,2.3126602172851562e-5,3.958120942115784e-9,389162.2268041237,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
9,2.4080276489257812e-5,3.751666700830428e-9,373749.8613861386,true
9,2.3126602172851562e-5,0.0,389162.2268041237,true
8,2.09808349609375e-5,5.777852832521444e-9,381300.36363636365,true
11,3.0040740966796875e-5,1.2459807149038554e-9,366169.3968253968,true
10,2.6941299438476562e-5,0.0,371177.34513274336,true
9,2.288818359375e-5,2.3283064365386963e-9,393216.0,true
13,3.600120544433594e-5,0.0,361099.01986754965,true
9,2.384185791015625e-5,3.5205808706472517e-9,377487.36,true
10,2.5987625122070312e-5,1.1641532182693481e-9,384798.53211009176,true
13,3.600120544433594e-5,0.0,361099.01986754965,true
10,2.6941299438476562e-5,8.881784197009723e-10,371177.34513274336,true
10,2.8133392333984375e-5,0.0,355449.4915254237,true
12,3.1948089599609375e-5,0.0,375609.3134328358,true
12,3.0994415283203125e-5,8.881784197009723e-10,387166.5230769231,true
9,2.288818359375e-5,0.0,393216.0,true
10,2.5987625122070312e-5,0.0,384798.53211009176,true
9,2.4080276489257812e-5,2.9077484180390133e-9,373749.8613861386,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
9,2.3126602172851562e-5,0.0,389162.2268041237,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
10,2.6941299438476562e-5,2.3283064365386963e-10,371177.34513274336,true
9,2.384185791015625e-5,0.0,377487.36,true
10,2.7179718017578125e-5,0.0,367921.4035087719,true
