iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
10,0.0001552104949951172,8.421259195954885e-10,64428.63287250384,true
9,0.00012111663818359375,9.318187003061737e-9,74308.53543307087,true
9,7.605552673339844e-5,9.829035326598057e-9,118334.59561128527,true
10,8.106231689453125e-5,5.839236898487107e-10,123361.88235294117,true
10,8.0108642578125e-5,3.139770631855883e-9,124830.47619047618,true
10,7.915496826171875e-5,2.055004363911797e-9,126334.4578313253,true
10,7.796287536621094e-5,1.3028529824405864e-9,128266.17737003058,true
9,6.985664367675781e-5,9.91508904600662e-9,128835.27645051194,true
10,7.796287536621094e-5,1.7408208271181143e-9,128266.17737003058,true
10,7.796287536621094e-5,9.110266118609427e-10,128266.17737003058,true
10,7.891654968261719e-5,2.322758181940181e-9,126716.1329305136,true
9,6.818771362304688e-5,7.584746668387834e-9,131988.58741258743,true
10,9.012222290039062e-5,1.3347109501815638e-9,110960.42328042327,true
9,7.510185241699219e-5,9.21238800225143e-9,119837.25714285714,true
10,7.700920104980469e-5,2.488657433649457e-9,129854.61300309598,true
10,7.82012939453125e-5,1.753983458120611e-9,127875.12195121951,true
9,6.890296936035156e-5,9.633421934940367e-9,130618.46366782006,true
10,7.796287536621094e-5,1.0614773942497888e-9,128266.17737003058,true
9,6.818771362304688e-5,6.049767676820546e-9,131988.58741258743,true
10,7.700920104980469e-5,9.092799230345234e-10,129854.61300309598,true
10,7.700920104980469e-5,7.796448286087713e-10,129854.61300309598,true
10,7.581710815429688e-5,1.0305882740967414e-9,131896.35220125786,true
9,6.985664367675781e-5,6.063112768580058e-9,128835.27645051194,true
10,7.700920104980469e-5,1.1852182136702616e-9,129854.61300309598,true
10,7.796287536621094e-5,7.047806508890811e-10,128266.17737003058,true
10,7.700920104980469e-5,1.4401445645165255e-9,129854.61300309598,true
10,7.796287536621094e-5,6.484916526938418e-10,128266.17737003058,true
10,7.796287536621094e-5,7.97728670874358e-10,128266.17737003058,true
10,7.891654968261719e-5,1.9998928706093905e-9,126716.1329305136,true
9,6.794929504394531e-5,5.60415490368592e-9,132451.7052631579,true
