iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
25,0.0001399517059326172,3.679344792441851e-9,178633.04940374786,true
26,0.0001251697540283203,1.060751763661992e-11,207717.9123809524,true
25,7.891654968261719e-5,9.174317830250144e-9,316790.33232628397,true
26,8.0108642578125e-5,1.060751763661992e-11,324559.2380952381,true
25,7.605552673339844e-5,7.118049081640237e-9,328707.210031348,true
26,7.796287536621094e-5,1.8052624917377791e-12,333492.0611620795,true
26,7.891654968261719e-5,1.8052624917377791e-12,329461.94561933534,true
26,7.700920104980469e-5,1.060751763661992e-11,337621.99380804953,true
26,7.915496826171875e-5,1.8052624917377791e-12,328469.5903614458,true
25,7.510185241699219e-5,5.567444081417138e-9,332881.2698412698,true
26,7.700920104980469e-5,1.060751763661992e-11,337621.99380804953,true
26,7.700920104980469e-5,1.060751763661992e-11,337621.99380804953,true
26,7.581710815429688e-5,1.8052624917377791e-12,342930.5157232704,true
26,7.891654968261719e-5,1.060751763661992e-11,329461.94561933534,true
26,8.177757263183594e-5,1.060751763661992e-11,317935.58017492713,true
26,8.606910705566406e-5,1.060751763661992e-11,302082.836565097,true
26,0.00010704994201660156,1.060751763661992e-11,242877.29175946547,true
26,8.20159912109375e-5,1.060751763661992e-11,317011.3488372093,true
26,7.82012939453125e-5,1.060751763661992e-11,332475.31707317074,true
26,7.796287536621094e-5,1.8052624917377791e-12,333492.0611620795,true
26,7.677078247070312e-5,1.060751763661992e-11,338670.5093167702,true
26,7.796287536621094e-5,1.060751763661992e-11,333492.0611620795,true
26,7.915496826171875e-5,1.060751763661992e-11,328469.5903614458,true
26,7.796287536621094e-5,1.060751763661992e-11,333492.0611620795,true
26,7.987022399902344e-5,1.060751763661992e-11,325528.07164179103,true
26,7.915496826171875e-5,1.060751763661992e-11,328469.5903614458,true
26,7.796287536621094e-5,1.060751763661992e-11,333492.0611620795,true
26,8.0108642578125e-5,1.060751763661992e-11,324559.2380952381,true
26,7.700920104980469e-5,1.8052624917377791e-12,337621.99380804953,true
26,7.915496826171875e-5,1.060751763661992e-11,328469.5903614458,true
