iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
13,0.00010800361633300781,1.7763568394019445e-9,120366.3399558499,true
10,6.508827209472656e-5,0.0,153637.50915750916,true
11,4.57763671875e-5,8.881784197009723e-10,240298.66666666666,true
12,4.410743713378906e-5,0.0,272062.9621621622,true
9,2.7894973754882812e-5,0.0,322638.76923076925,true
9,2.6941299438476562e-5,0.0,334059.610619469,true
12,4.9114227294921875e-5,9.313225746154785e-10,244328.38834951457,true
13,4.8160552978515625e-5,0.0,269930.45544554456,true
12,6.29425048828125e-5,8.881784197009723e-10,190650.18181818182,true
13,7.104873657226562e-5,1.464279215460296e-9,182972.9932885906,true
9,2.6941299438476562e-5,2.3283064365386963e-9,334059.610619469,true
12,5.984306335449219e-5,0.0,200524.49402390438,true
17,0.00010180473327636719,2.0954757928848267e-9,166986.34192037472,true
15,5.3882598876953125e-5,0.0,278383.00884955755,true
10,3.0994415283203125e-5,8.881784197009723e-10,322638.76923076925,true
12,5.2928924560546875e-5,0.0,226719.13513513515,true
15,8.392333984375e-5,5.797200024139484e-9,178734.54545454544,true
13,6.508827209472656e-5,7.463803752615913e-9,199728.7619047619,true
14,6.699562072753906e-5,0.0,208968.88256227758,true
12,6.29425048828125e-5,0.0,190650.18181818182,true
11,3.3855438232421875e-5,0.0,324910.8732394366,true
9,2.6941299438476562e-5,8.881784197009723e-10,334059.610619469,true
10,3.314018249511719e-5,0.0,301748.4892086331,true
172,0.0010340213775634766,8.881784197009723e-10,166340.8549688725,true
12,6.198883056640625e-5,7.916241884231567e-9,193583.26153846155,true
19,0.00013303756713867188,0.0,142816.80286738352,true
13,4.482269287109375e-5,8.881784197009723e-10,290031.6595744681,true
11,3.886222839355469e-5,8.881784197009723e-10,283051.1901840491,true
9,2.6941299438476562e-5,0.0,334059.610619469,true
17,8.916854858398438e-5,0.0,190650.18181818182,true
