iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
13,0.00012111663818359375,1.7763568394019445e-9,107334.55118110236,true
10,7.104873657226562e-5,0.0,140748.45637583893,true
11,4.601478576660156e-5,8.881784197009723e-10,239053.59585492229,true
12,4.291534423828125e-5,0.0,279620.26666666666,true
9,2.9087066650390625e-5,0.0,309415.868852459,true
9,3.0040740966796875e-5,0.0,299593.14285714284,true
12,4.887580871582031e-5,9.313225746154785e-10,245520.23414634148,true
13,4.9114227294921875e-5,0.0,264689.0873786408,true
12,6.318092346191406e-5,8.881784197009723e-10,189930.7471698113,true
13,7.200241088867188e-5,1.464279215460296e-9,180549.50993377483,true
9,2.8133392333984375e-5,2.3283064365386963e-9,319904.5423728814,true
12,6.198883056640625e-5,0.0,193583.26153846155,true
17,0.00011110305786132812,2.0954757928848267e-9,153011.09012875537,true
15,5.507469177246094e-5,0.0,272357.4025974026,true
10,3.0994415283203125e-5,8.881784197009723e-10,322638.76923076925,true
12,5.2928924560546875e-5,0.0,226719.13513513515,true
15,8.392333984375e-5,5.797200024139484e-9,178734.54545454544,true
13,6.508827209472656e-5,7.463803752615913e-9,199728.7619047619,true
14,6.699562072753906e-5,0.0,208968.88256227758,true
12,6.580352783203125e-5,0.0,182361.04347826086,true
11,3.504753112792969e-5,0.0,313859.4829931973,true
9,2.7894973754882812e-5,8.881784197009723e-10,322638.76923076925,true
10,3.2901763916015625e-5,0.0,303935.0724637681,true
172,0.0010230541229248047,8.881784197009723e-10,168124.04754136564,true
12,6.079673767089844e-5,7.916241884231567e-9,197379.01176470588,true
19,0.00013589859008789062,0.0,139810.13333333333,true
13,4.601478576660156e-5,8.881784197009723e-10,282517.8860103627,true
11,3.504753112792969e-5,8.881784197009723e-10,313859.4829931973,true
9,2.6941299438476562e-5,0.0,334059.610619469,true
17,8.797645568847656e-5,0.0,193233.51761517616,true
