iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
28,0.00014591217041015625,1.608164845672959e-10,191896.26143790848,true
28,0.0001399517059326172,1.608160920437022e-10,200069.01533219762,true
28,0.0001010894775390625,1.6082150895390979e-10,276982.3396226415,true
28,0.00010013580322265625,1.6081711260703862e-10,279620.26666666666,true
28,9.799003601074219e-5,1.608160920437022e-10,285743.3381995134,true
28,9.799003601074219e-5,1.6080321728584758e-10,285743.3381995134,true
28,9.608268737792969e-5,1.6081632755774343e-10,291415.6625310174,true
28,9.608268737792969e-5,1.6077825281552456e-10,291415.6625310174,true
28,9.608268737792969e-5,1.608160920437022e-10,291415.6625310174,true
28,9.489059448242188e-5,1.6081593503453296e-10,295076.6633165829,true
28,9.489059448242188e-5,1.6080423784719131e-10,295076.6633165829,true
28,9.584426879882812e-5,1.6082143052023982e-10,292140.57711442787,true
28,9.989738464355469e-5,1.6081405093645927e-10,280287.6181384248,true
28,9.703636169433594e-5,1.6082378677215909e-10,288551.62653562654,true
28,9.703636169433594e-5,1.608160920437022e-10,288551.62653562654,true
28,9.512901306152344e-5,1.6081593503453296e-10,294337.1228070175,true
28,9.512901306152344e-5,1.608156210166544e-10,294337.1228070175,true
28,9.489059448242188e-5,1.6080368831335523e-10,295076.6633165829,true
28,9.298324584960938e-5,1.608160920437022e-10,301129.5179487179,true
28,9.417533874511719e-5,1.60815306999389e-10,297317.7518987342,true
28,9.608268737792969e-5,1.608160920437022e-10,291415.6625310174,true
28,9.393692016601562e-5,1.6081617054834428e-10,298072.3654822335,true
28,9.489059448242188e-5,1.6081789766016604e-10,295076.6633165829,true
28,9.584426879882812e-5,1.6080934078785473e-10,292140.57711442787,true
28,9.584426879882812e-5,1.608160920437022e-10,292140.57711442787,true
28,9.298324584960938e-5,1.6081405093645927e-10,301129.5179487179,true
28,9.703636169433594e-5,1.6081405093645927e-10,288551.62653562654,true
28,9.608268737792969e-5,1.6082017433590631e-10,291415.6625310174,true
28,9.608268737792969e-5,1.6079097056436326e-10,291415.6625310174,true
28,9.393692016601562e-5,1.60815306999389e-10,298072.3654822335,true
