iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
7,0.00010704994201660156,6.6417716532867634e-12,65390.04008908686,true
7,5.793571472167969e-5,6.641327562806369e-12,120823.57201646091,true
7,2.5033950805664062e-5,6.64132756195934e-12,279620.26666666666,true
7,2.288818359375e-5,6.64132756195934e-12,305834.6666666667,true
7,2.193450927734375e-5,6.6417716503221594e-12,319131.82608695654,true
7,2.193450927734375e-5,6.641771650745674e-12,319131.82608695654,true
7,2.193450927734375e-5,6.641771652439734e-12,319131.82608695654,true
7,2.09808349609375e-5,6.641771655404337e-12,333637.8181818182,true
7,2.09808349609375e-5,6.6417716503221594e-12,333637.8181818182,true
7,2.002716064453125e-5,6.641327562806369e-12,349525.3333333333,true
7,2.09808349609375e-5,6.641771652016219e-12,333637.8181818182,true
7,2.09808349609375e-5,6.641770787199096e-12,333637.8181818182,true
7,2.09808349609375e-5,6.641771652439734e-12,333637.8181818182,true
7,2.09808349609375e-5,6.641771651592705e-12,333637.8181818182,true
7,2.09808349609375e-5,6.641771651592705e-12,333637.8181818182,true
7,2.002716064453125e-5,6.641326106762717e-12,349525.3333333333,true
7,2.002716064453125e-5,6.641771652016219e-12,349525.3333333333,true
7,2.09808349609375e-5,6.64132756195934e-12,333637.8181818182,true
7,2.1219253540039062e-5,6.6417716532867634e-12,329889.0786516854,true
7,2.002716064453125e-5,6.641771657945425e-12,349525.3333333333,true
7,2.002716064453125e-5,6.641327564500428e-12,349525.3333333333,true
7,2.002716064453125e-5,6.641771652016219e-12,349525.3333333333,true
7,1.9788742065429688e-5,6.6417716528632486e-12,353736.4819277108,true
7,2.002716064453125e-5,6.6417716494751305e-12,349525.3333333333,true
7,2.002716064453125e-5,6.641771651592705e-12,349525.3333333333,true
7,2.09808349609375e-5,6.641771654133793e-12,333637.8181818182,true
7,2.002716064453125e-5,6.641327562382855e-12,349525.3333333333,true
7,2.002716064453125e-5,6.6417716566748815e-12,349525.3333333333,true
7,2.002716064453125e-5,6.64177165116919e-12,349525.3333333333,true
7,2.002716064453125e-5,6.64177165116919e-12,349525.3333333333,true
