iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
15,0.0009951591491699219,7.493799816543059e-15,15072.96597987542,true
1000,0.010704994201660156,7.566837340807021e-8,93414.3429844098,false
15,7.200241088867188e-5,3.8459253727671276e-16,208326.35761589403,true
15,6.604194641113281e-5,8.711921984264084e-13,227128.37545126354,true
10,4.696846008300781e-5,1.233956436781644e-12,212908.83248730964,true
11,6.794929504394531e-5,1.2339662051762023e-12,161885.41754385966,true
1000,0.010178804397583008,1.7480790358195882e-8,98243.36542290305,false
16,0.00010919570922851562,1.817513422402428e-15,146525.903930131,true
12,5.698204040527344e-5,1.197529533904733e-10,210592.66945606694,true
14,6.29425048828125e-5,4.674477193567932e-9,222425.21212121213,true
15,6.29425048828125e-5,3.8459253727671276e-16,238312.72727272726,true
10,5.793571472167969e-5,3.107866301765156e-9,172605.10288065844,true
17,0.00012493133544921875,9.230220894641107e-15,136074.74809160305,true
10,6.008148193359375e-5,7.598642326984368e-9,166440.6349206349,true
9,4.100799560546875e-5,8.433213561880954e-10,219469.39534883722,true
10,4.410743713378906e-5,1.2353120979366972e-12,226719.13513513515,true
14,5.91278076171875e-5,3.959012931306492e-11,236775.2258064516,true
11,5.2928924560546875e-5,1.2339650771680622e-12,207825.87387387388,true
10,4.291534423828125e-5,1.380189827360579e-12,233016.88888888888,true
14,6.008148193359375e-5,6.025644359051768e-9,233016.88888888888,true
1000,0.010558128356933594,1.1651940184819972e-7,94713.75666154819,false
10,4.315376281738281e-5,1.2332214056828745e-12,231729.50276243093,true
1000,0.009752035140991211,2.8206053765050162e-8,102542.69857956629,false
15,6.699562072753906e-5,8.713661777379681e-13,223895.23131672599,true
14,6.604194641113281e-5,9.390125337184626e-10,211986.48375451262,true
14,7.200241088867188e-5,9.392985456827931e-14,194437.93377483444,true
14,6.198883056640625e-5,5.76894624685353e-11,225847.13846153847,true
10,4.696846008300781e-5,2.0825116042256953e-12,212908.83248730964,true
15,7.915496826171875e-5,4.757146962048553e-15,189501.68674698795,true
1000,0.009634017944335938,1.0622794522286707e-8,103798.85171253217,false
