iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
11,0.0001850128173828125,2.1451211725179132e-12,59455.34020618557,true
11,0.00012493133544921875,2.1451211725179132e-12,88048.36641221374,true
11,5.793571472167969e-5,2.1451211725179132e-12,189865.6131687243,true
1000,0.012742996215820312,4.779388908412245e-6,78474.47986828319,false
1000,0.012659788131713867,4.779388908412245e-6,78990.26347012185,false
11,5.4836273193359375e-5,2.4774139877183938e-12,200597.14782608696,true
11,5.1021575927734375e-5,2.1451211725179132e-12,215595.06542056074,true
11,5.1021575927734375e-5,2.1451211725179132e-12,215595.06542056074,true
11,4.792213439941406e-5,2.1451211725179132e-12,229539.0248756219,true
11,4.9114227294921875e-5,2.4774139877183938e-12,223967.68932038834,true
11,4.8160552978515625e-5,2.4774139877183938e-12,228402.69306930693,true
11,4.696846008300781e-5,2.4774139877183938e-12,234199.7157360406,true
11,5.1021575927734375e-5,2.4774139877183938e-12,215595.06542056074,true
11,4.696846008300781e-5,2.4774139877183938e-12,234199.7157360406,true
11,4.792213439941406e-5,2.4774139877183938e-12,229539.0248756219,true
11,4.982948303222656e-5,2.1451211725179132e-12,220752.84210526315,true
11,4.696846008300781e-5,2.4774139877183938e-12,234199.7157360406,true
1000,0.012594938278198242,4.502612457909216e-6,79396.97503170728,false
11,6.103515625e-5,2.1451211725179132e-12,180224.0,true
11,5.5789947509765625e-5,2.1451211725179132e-12,197168.13675213675,true
11,5.2928924560546875e-5,2.4774139877183938e-12,207825.87387387388,true
11,5.888938903808594e-5,2.1451211725179132e-12,186790.86639676112,true
11,4.982948303222656e-5,2.1451211725179132e-12,220752.84210526315,true
11,5.698204040527344e-5,2.1451211725179132e-12,193043.28033472804,true
11,5.1021575927734375e-5,2.4774139877183938e-12,215595.06542056074,true
11,4.8160552978515625e-5,2.4774139877183938e-12,228402.69306930693,true
11,5.1975250244140625e-5,2.4774139877183938e-12,211639.19266055047,true
1000,0.012366056442260742,4.779388908412245e-6,80866.52399406173,false
11,5.1975250244140625e-5,2.1451211725179132e-12,211639.19266055047,true
11,8.392333984375e-5,2.4774139877183938e-12,131072.0,true
