iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
22,0.0001270771026611328,4.4734744893543305e-10,173123.2420262664,true
22,0.00011610984802246094,4.473813641957694e-10,189475.7453798768,true
22,8.20159912109375e-5,4.4738488439503433e-10,268240.37209302327,true
22,8.106231689453125e-5,4.4738432857329435e-10,271396.1411764706,true
22,8.0108642578125e-5,4.472864838295377e-10,274627.04761904763,true
22,7.915496826171875e-5,4.47382475836337e-10,277935.8072289157,true
22,7.796287536621094e-5,4.472875954545898e-10,282185.59021406726,true
22,7.796287536621094e-5,4.4738377275185557e-10,282185.59021406726,true
22,7.605552673339844e-5,4.4733188599733396e-10,289262.3448275862,true
22,7.605552673339844e-5,4.473268836745472e-10,289262.3448275862,true
22,7.605552673339844e-5,4.473329976279347e-10,289262.3448275862,true
22,7.581710815429688e-5,4.473322565407336e-10,290171.9748427673,true
22,7.987022399902344e-5,4.4738229056282535e-10,275446.82985074626,true
22,7.390975952148438e-5,4.4742398732495594e-10,297660.28387096775,true
22,7.700920104980469e-5,4.473450512666884e-10,285680.1486068111,true
22,7.581710815429688e-5,4.4738062310272737e-10,290171.9748427673,true
22,7.700920104980469e-5,4.473750649219859e-10,285680.1486068111,true
22,7.605552673339844e-5,4.474182438548012e-10,289262.3448275862,true
22,8.106231689453125e-5,4.4742491369412264e-10,271396.1411764706,true
22,7.510185241699219e-5,4.473806341840976e-10,292935.51746031747,true
22,7.390975952148438e-5,4.473329976279347e-10,297660.28387096775,true
22,7.605552673339844e-5,4.47382661109882e-10,289262.3448275862,true
22,7.605552673339844e-5,4.4733429453182585e-10,289262.3448275862,true
22,7.700920104980469e-5,4.473328123560842e-10,285680.1486068111,true
22,7.605552673339844e-5,4.473339239876895e-10,289262.3448275862,true
22,7.510185241699219e-5,4.4738229056282535e-10,292935.51746031747,true
22,7.605552673339844e-5,4.473326270842672e-10,289262.3448275862,true
22,7.414817810058594e-5,4.473889604303342e-10,296703.1768488746,true
22,7.605552673339844e-5,4.4738210528934724e-10,289262.3448275862,true
22,7.605552673339844e-5,4.473287363838443e-10,289262.3448275862,true
