iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
20,0.00012087821960449219,3.2161596892642384e-9,165455.77909270217,true
19,9.989738464355469e-5,9.971212513977189e-9,190195.16945107398,true
20,7.200241088867188e-5,3.3045635370142242e-9,277768.4768211921,true
20,7.796287536621094e-5,3.563374262068301e-9,256532.35474006116,true
20,7.295608520507812e-5,3.1506446252471798e-9,274137.5163398693,true
20,7.581710815429688e-5,3.52713284841995e-9,263792.7044025157,true
20,7.700920104980469e-5,3.5345694516205795e-9,259709.22600619195,true
19,7.009506225585938e-5,9.900744351585175e-9,271060.462585034,true
20,7.104873657226562e-5,3.47389559489279e-9,281496.91275167785,true
20,7.200241088867188e-5,3.3814226622008736e-9,277768.4768211921,true
20,6.890296936035156e-5,3.3208348903810756e-9,290263.25259515573,true
20,7.295608520507812e-5,3.5245509084262123e-9,274137.5163398693,true
20,6.890296936035156e-5,3.2065691164598616e-9,290263.25259515573,true
19,6.699562072753906e-5,9.857483620547521e-9,283600.6263345196,true
20,7.009506225585938e-5,3.5130640669400616e-9,285326.80272108846,true
20,6.794929504394531e-5,3.429898851273991e-9,294337.1228070175,true
20,6.794929504394531e-5,3.3450745407398914e-9,294337.1228070175,true
20,7.009506225585938e-5,3.483727697932746e-9,285326.80272108846,true
20,6.914138793945312e-5,3.144175568806624e-9,289262.3448275862,true
20,7.009506225585938e-5,3.293090271982821e-9,285326.80272108846,true
19,6.389617919921875e-5,9.778371422430873e-9,297357.37313432834,true
20,6.699562072753906e-5,3.0341181637126822e-9,298526.975088968,true
19,6.699562072753906e-5,9.806722149861857e-9,283600.6263345196,true
20,6.985664367675781e-5,3.416869608833055e-9,286300.614334471,true
20,6.699562072753906e-5,3.4475842382759704e-9,298526.975088968,true
20,7.200241088867188e-5,3.5345332915094414e-9,277768.4768211921,true
19,6.699562072753906e-5,9.783706239744373e-9,283600.6263345196,true
20,7.295608520507812e-5,3.2562786241562797e-9,274137.5163398693,true
20,6.985664367675781e-5,2.968808402907229e-9,286300.614334471,true
20,7.200241088867188e-5,3.4941861211151615e-9,277768.4768211921,true
