iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
9,7.82012939453125e-5,1.7763568394019445e-9,115087.60975609756,true
14,7.081031799316406e-5,0.0,197711.29966329967,true
9,2.8133392333984375e-5,8.881784197009723e-10,319904.5423728814,true
10,2.8133392333984375e-5,0.0,355449.4915254237,true
9,2.8133392333984375e-5,0.0,319904.5423728814,true
9,2.4080276489257812e-5,3.958120942115784e-9,373749.8613861386,true
9,2.5033950805664062e-5,0.0,359511.77142857143,true
9,2.5033950805664062e-5,3.751666700830428e-9,359511.77142857143,true
9,2.384185791015625e-5,0.0,377487.36,true
8,2.193450927734375e-5,5.777852832521444e-9,364722.0869565217,true
11,3.0994415283203125e-5,1.2459807149038554e-9,354902.6461538462,true
10,2.9087066650390625e-5,0.0,343795.40983606555,true
9,2.4080276489257812e-5,2.3283064365386963e-9,373749.8613861386,true
13,3.719329833984375e-5,0.0,349525.3333333333,true
9,2.4080276489257812e-5,3.5205808706472517e-9,373749.8613861386,true
10,2.6941299438476562e-5,1.1641532182693481e-9,371177.34513274336,true
13,3.600120544433594e-5,0.0,361099.01986754965,true
10,2.7894973754882812e-5,8.881784197009723e-10,358487.5213675214,true
10,2.8133392333984375e-5,0.0,355449.4915254237,true
12,3.2901763916015625e-5,0.0,364722.0869565217,true
12,3.2901763916015625e-5,8.881784197009723e-10,364722.0869565217,true
9,2.384185791015625e-5,0.0,377487.36,true
10,2.6941299438476562e-5,0.0,371177.34513274336,true
9,2.4080276489257812e-5,2.9077484180390133e-9,373749.8613861386,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
9,2.4080276489257812e-5,0.0,373749.8613861386,true
10,2.5987625122070312e-5,2.3283064365386963e-10,384798.53211009176,true
9,2.384185791015625e-5,0.0,377487.36,true
10,2.6941299438476562e-5,0.0,371177.34513274336,true
