iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
11,9.608268737792969e-5,7.898817897188966e-10,114484.72456575683,true
11,7.319450378417969e-5,7.898817897188966e-10,150284.50814332248,true
11,3.886222839355469e-5,7.898817897188966e-10,283051.1901840491,true
11,3.504753112792969e-5,7.898828624988562e-10,313859.4829931973,true
11,3.504753112792969e-5,7.898817897188966e-10,313859.4829931973,true
11,3.409385681152344e-5,7.898828624988562e-10,322638.76923076925,true
11,3.409385681152344e-5,7.898828624988562e-10,322638.76923076925,true
11,3.314018249511719e-5,7.898817897188966e-10,331923.3381294964,true
11,3.314018249511719e-5,7.898839352793561e-10,331923.3381294964,true
11,3.2901763916015625e-5,7.898817897188966e-10,334328.5797101449,true
11,3.2901763916015625e-5,7.898828624988562e-10,334328.5797101449,true
11,3.218650817871094e-5,7.898817897188966e-10,341758.10370370373,true
11,3.2901763916015625e-5,7.898839352793561e-10,334328.5797101449,true
11,3.1948089599609375e-5,7.898828624988562e-10,344308.53731343284,true
11,3.1948089599609375e-5,7.898839352793561e-10,344308.53731343284,true
11,3.2901763916015625e-5,7.898817897188966e-10,334328.5797101449,true
11,3.218650817871094e-5,7.898839352793561e-10,341758.10370370373,true
11,3.2901763916015625e-5,7.898817897188966e-10,334328.5797101449,true
11,3.2901763916015625e-5,7.898828624988562e-10,334328.5797101449,true
11,3.314018249511719e-5,7.898817897188966e-10,331923.3381294964,true
11,3.2901763916015625e-5,7.898828624988562e-10,334328.5797101449,true
11,3.2901763916015625e-5,7.898817897188966e-10,334328.5797101449,true
11,3.1948089599609375e-5,7.898817897188966e-10,344308.53731343284,true
11,3.1948089599609375e-5,7.898828624988562e-10,344308.53731343284,true
11,3.218650817871094e-5,7.898839352793561e-10,341758.10370370373,true
11,3.1948089599609375e-5,7.898828624988562e-10,344308.53731343284,true
11,3.218650817871094e-5,7.898839352793561e-10,341758.10370370373,true
11,3.1948089599609375e-5,7.898817897188966e-10,344308.53731343284,true
11,3.314018249511719e-5,7.898817897188966e-10,331923.3381294964,true
11,3.2901763916015625e-5,7.898828624988562e-10,334328.5797101449,true
