iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
3,6.4849853515625e-5,9.701953933064353e-11,46260.705882352944,true
3,4.00543212890625e-5,9.701953933064353e-11,74898.28571428571,true
3,1.3113021850585938e-5,9.701962659640016e-11,228780.21818181817,true
3,1.0967254638671875e-5,9.701919323908786e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701909643857292e-11,273541.5652173913,true
3,1.1205673217773438e-5,9.701919323908786e-11,267721.5319148936,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0013580322265625e-5,9.701953933064353e-11,299593.14285714284,true
3,1.0967254638671875e-5,9.701919323908786e-11,273541.5652173913,true
3,1.1205673217773438e-5,9.701928050392028e-11,267721.5319148936,true
3,1.0967254638671875e-5,9.701931300943436e-11,273541.5652173913,true
3,1.1205673217773438e-5,9.701919323908786e-11,267721.5319148936,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701928050392028e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701962659640016e-11,273541.5652173913,true
3,9.775161743164062e-6,9.701953933064353e-11,306900.2926829268,true
3,1.0013580322265625e-5,9.701919323908786e-11,299593.14285714284,true
3,1.0013580322265625e-5,9.701953933064353e-11,299593.14285714284,true
3,1.0967254638671875e-5,9.701928050392028e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701919323908786e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701953933064353e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701919323908786e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701962659640016e-11,273541.5652173913,true
3,1.0967254638671875e-5,9.701947707843804e-11,273541.5652173913,true
3,1.0013580322265625e-5,9.701953933064353e-11,299593.14285714284,true
3,1.0013580322265625e-5,9.701919323908786e-11,299593.14285714284,true
