iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
4,6.29425048828125e-5,2.6932548486534763e-19,63550.06060606061,true
3,4.291534423828125e-5,2.6315817292070127e-9,69905.06666666667,true
4,1.4066696166992188e-5,1.4345948772269509e-19,284359.593220339,true
3,6.9141387939453125e-6,3.789538852660739e-11,433893.5172413793,true
3,1.1920928955078125e-5,1.2379791226869898e-9,251658.24,true
3,6.9141387939453125e-6,1.2517190875023835e-9,433893.5172413793,true
3,6.9141387939453125e-6,6.755144643896421e-11,433893.5172413793,true
3,5.9604644775390625e-6,1.9108004527941286e-9,503316.48,true
4,1.0967254638671875e-5,1.7074087775243512e-14,364722.0869565217,true
4,1.0013580322265625e-5,4.1481986466421356e-20,399457.5238095238,true
3,5.9604644775390625e-6,1.251658391167756e-11,503316.48,true
4,1.0013580322265625e-5,1.0334661497862491e-19,399457.5238095238,true
4,1.1205673217773438e-5,2.8483678037755044e-18,356962.0425531915,true
3,6.9141387939453125e-6,2.935356688603866e-11,433893.5172413793,true
3,7.152557373046875e-6,1.188819806284129e-9,419430.4,true
3,6.9141387939453125e-6,1.2654979763739284e-9,433893.5172413793,true
3,6.9141387939453125e-6,6.891798144163771e-9,433893.5172413793,true
3,7.152557373046875e-6,7.482916190563386e-9,419430.4,true
3,6.9141387939453125e-6,2.5222993996988824e-9,433893.5172413793,true
3,6.9141387939453125e-6,6.574953351900734e-9,433893.5172413793,true
3,6.198883056640625e-6,1.254734205410993e-9,483958.1538461539,true
4,1.0013580322265625e-5,6.725820033443761e-18,399457.5238095238,true
3,6.9141387939453125e-6,4.3164744825666345e-9,433893.5172413793,true
3,6.9141387939453125e-6,1.0723696766843549e-10,433893.5172413793,true
3,7.152557373046875e-6,2.575347943821697e-9,419430.4,true
3,6.9141387939453125e-6,4.216839652071813e-9,433893.5172413793,true
3,6.9141387939453125e-6,1.0981353844277359e-9,433893.5172413793,true
3,7.152557373046875e-6,3.221460593851967e-9,419430.4,true
3,5.9604644775390625e-6,2.0570189234319928e-9,503316.48,true
3,6.9141387939453125e-6,7.161509896657314e-10,433893.5172413793,true
