iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
2,0.0009429454803466797,9.160081753958059e-14,2121.0134007585334,true
2,3.600120544433594e-5,1.6953179200850712e-13,55553.69536423841,true
2,7.152557373046875e-6,1.001543045313186e-12,279620.26666666666,true
2,5.0067901611328125e-6,6.161737786669619e-15,399457.5238095238,true
2,3.0994415283203125e-6,1.57094106059352e-14,645277.5384615385,true
2,4.0531158447265625e-6,1.3778064550522362e-14,493447.5294117647,true
2,3.0994415283203125e-6,8.380869478794752e-14,645277.5384615385,true
2,3.0994415283203125e-6,3.0808688933348094e-15,645277.5384615385,true
2,3.0994415283203125e-6,6.161737786669619e-15,645277.5384615385,true
2,3.0994415283203125e-6,3.89702515012014e-14,645277.5384615385,true
2,3.0994415283203125e-6,6.161737786669619e-15,645277.5384615385,true
2,3.0994415283203125e-6,0.0,645277.5384615385,true
2,3.0994415283203125e-6,0.0,645277.5384615385,true
2,3.0994415283203125e-6,1.2323475573339238e-14,645277.5384615385,true
2,3.0994415283203125e-6,5.554115383950277e-13,645277.5384615385,true
2,3.0994415283203125e-6,6.889032275261181e-15,645277.5384615385,true
2,2.86102294921875e-6,7.794050300240284e-14,699050.6666666666,true
2,2.86102294921875e-6,0.0,699050.6666666666,true
2,3.814697265625e-6,2.922768862590102e-14,524288.0,true
2,3.0994415283203125e-6,6.161737786669619e-15,645277.5384615385,true
2,3.0994415283203125e-6,1.110823076790065e-14,645277.5384615385,true
2,3.0994415283203125e-6,6.0686079272863e-14,645277.5384615385,true
2,3.0994415283203125e-6,1.6590986739782035e-14,645277.5384615385,true
2,4.0531158447265625e-6,9.742562875300343e-15,493447.5294117647,true
2,3.0994415283203125e-6,6.161737786669619e-15,645277.5384615385,true
2,3.0994415283203125e-6,0.0,645277.5384615385,true
2,2.86102294921875e-6,3.224920760765559e-13,699050.6666666666,true
2,2.86102294921875e-6,1.3778064550522367e-14,699050.6666666666,true
2,2.86102294921875e-6,1.8491784712281282e-12,699050.6666666666,true
2,2.86102294921875e-6,6.161737786669619e-15,699050.6666666666,true
