iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
9,0.0010750293731689453,0.0,8371.864271457085,true
10,8.082389831542969e-5,0.0,123725.78171091445,true
10,2.5987625122070312e-5,0.0,384798.53211009176,true
8,1.811981201171875e-5,2.1238399978567564e-9,441505.6842105263,true
11,2.5033950805664062e-5,0.0,439403.2761904762,true
9,1.8835067749023438e-5,2.6233460633537983e-9,477832.10126582277,true
9,1.9788742065429688e-5,0.0,454804.0481927711,true
10,2.193450927734375e-5,0.0,455902.60869565216,true
8,1.71661376953125e-5,9.158448820384797e-9,466033.77777777775,true
9,1.9073486328125e-5,0.0,471859.2,true
11,2.4080276489257812e-5,0.0,456805.38613861386,true
8,1.71661376953125e-5,8.881784197009723e-10,466033.77777777775,true
11,2.4080276489257812e-5,0.0,456805.38613861386,true
19,4.291534423828125e-5,0.0,442732.0888888889,true
10,2.09808349609375e-5,4.656612873077393e-10,476625.45454545453,true
9,2.002716064453125e-5,8.881784197009723e-10,449389.71428571426,true
11,2.5987625122070312e-5,8.881784197009723e-10,423278.38532110094,true
8,1.7881393432617188e-5,0.0,447392.4266666667,true
9,2.002716064453125e-5,8.881784197009723e-10,449389.71428571426,true
11,2.5033950805664062e-5,0.0,439403.2761904762,true
10,2.3126602172851562e-5,0.0,432402.4742268041,true
10,2.288818359375e-5,1.862645149230957e-9,436906.6666666667,true
9,2.09808349609375e-5,8.161164027946172e-9,428962.9090909091,true
9,2.193450927734375e-5,0.0,410312.347826087,true
10,2.288818359375e-5,0.0,436906.6666666667,true
12,2.6941299438476562e-5,0.0,445412.81415929203,true
9,2.002716064453125e-5,8.881784197009723e-10,449389.71428571426,true
9,2.2172927856445312e-5,0.0,405900.3870967742,true
9,1.9073486328125e-5,0.0,471859.2,true
11,2.4080276489257812e-5,0.0,456805.38613861386,true
