iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
7,0.0003650188446044922,6.6417716532867634e-12,19177.092096668843,true
7,4.8160552978515625e-5,6.641327562806369e-12,145347.1683168317,true
7,1.621246337890625e-5,6.64132756195934e-12,431766.5882352941,true
7,1.5020370483398438e-5,6.64132756195934e-12,466033.77777777775,true
7,1.5020370483398438e-5,6.6417716503221594e-12,466033.77777777775,true
7,1.3828277587890625e-5,6.641771650745674e-12,506209.1034482759,true
7,1.5020370483398438e-5,6.641771652439734e-12,466033.77777777775,true
7,1.5020370483398438e-5,6.641771655404337e-12,466033.77777777775,true
7,1.4066696166992188e-5,6.6417716503221594e-12,497629.28813559323,true
7,1.4066696166992188e-5,6.641327562806369e-12,497629.28813559323,true
7,1.4066696166992188e-5,6.641771652016219e-12,497629.28813559323,true
7,1.5020370483398438e-5,6.641770787199096e-12,466033.77777777775,true
7,1.5020370483398438e-5,6.641771652439734e-12,466033.77777777775,true
7,1.4781951904296875e-5,6.641771651592705e-12,473550.4516129032,true
7,1.3828277587890625e-5,6.641771651592705e-12,506209.1034482759,true
7,1.5020370483398438e-5,6.641326106762717e-12,466033.77777777775,true
7,1.4066696166992188e-5,6.641771652016219e-12,497629.28813559323,true
7,1.4066696166992188e-5,6.64132756195934e-12,497629.28813559323,true
7,1.4066696166992188e-5,6.6417716532867634e-12,497629.28813559323,true
7,1.3113021850585938e-5,6.641771657945425e-12,533820.509090909,true
7,1.4066696166992188e-5,6.641327564500428e-12,497629.28813559323,true
7,1.4066696166992188e-5,6.641771652016219e-12,497629.28813559323,true
7,1.5020370483398438e-5,6.6417716528632486e-12,466033.77777777775,true
7,1.3113021850585938e-5,6.6417716494751305e-12,533820.509090909,true
7,1.4066696166992188e-5,6.641771651592705e-12,497629.28813559323,true
7,1.5020370483398438e-5,6.641771654133793e-12,466033.77777777775,true
7,1.4066696166992188e-5,6.641327562382855e-12,497629.28813559323,true
7,1.3828277587890625e-5,6.6417716566748815e-12,506209.1034482759,true
7,1.2874603271484375e-5,6.64177165116919e-12,543706.074074074,true
7,1.3828277587890625e-5,6.64177165116919e-12,506209.1034482759,true
