iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
1000,0.005212068557739258,8.158867503514803e-8,191862.40336672612,false
145,0.0006761550903320312,3.9922688958762515e-9,214447.8420310296,true
189,0.0008139610290527344,8.120095395684873e-9,232197.848857645,true
57,0.0002570152282714844,9.17531153819853e-9,221776.74211502782,true
32,0.00013685226440429688,5.5295914861098154e-9,233828.7944250871,true
1000,0.004252910614013672,2.6138838140351855e-7,235133.08666890906,false
27,0.00010704994201660156,7.308620969933519e-9,252218.72605790646,true
30,0.00012111663818359375,8.446212384401991e-10,247695.11811023622,true
232,0.000946044921875,8.747142975795365e-9,245231.48387096773,true
1000,0.004067897796630859,4.723866491103668e-7,245827.2183800258,false
1000,0.004022836685180664,5.514543514828295e-8,248580.8095774314,false
37,0.00014495849609375,7.776245623711362e-9,255245.47368421053,true
46,0.0001819133758544922,1.332433385396381e-9,252867.60681520315,true
1000,0.004031181335449219,8.14754669172063e-8,248066.2408327419,false
43,0.0001690387725830078,1.1762453293177582e-9,254379.50916784204,true
97,0.00038695335388183594,6.580487891669729e-9,250676.20948860137,true
28,0.00010895729064941406,7.047220566202831e-9,256981.42669584244,true
1000,0.004097938537597656,2.9070541995836696e-8,244025.13381428903,false
43,0.00016999244689941406,9.861160041101248e-9,252952.41514726507,true
1000,0.0040509700775146484,1.4747431430570736e-7,246854.45235713024,false
749,0.0030298233032226562,9.915619731990102e-9,247209.13566257476,true
1000,0.004090070724487305,3.589678071098803e-7,244494.54969396678,false
23,9.012222290039062e-5,2.620693224891617e-9,255208.97354497353,true
43,0.0001690387725830078,1.7567738896774662e-9,254379.50916784204,true
34,0.00013399124145507812,4.324223603159689e-9,253747.92882562277,true
1000,0.00427699089050293,4.2700884916282347e-8,233809.24243268857,false
1000,0.004467964172363281,1.6136944597405498e-7,223815.58164354324,false
56,0.0002460479736328125,3.950748955773021e-9,227597.8914728682,true
49,0.00021314620971679688,5.168396117118001e-9,229889.14541387025,true
25,0.00010609626770019531,6.370279422199475e-9,235635.05617977527,true
