iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
10,0.001219034194946289,8.421259195954885e-10,8203.21533346372,true
9,8.893013000488281e-5,9.318187003061737e-9,101203.0455764075,true
9,5.1975250244140625e-5,9.829035326598057e-9,173159.3394495413,true
10,5.698204040527344e-5,5.839236898487107e-10,175493.8912133891,true
10,5.91278076171875e-5,3.139770631855883e-9,169125.16129032258,true
10,5.507469177246094e-5,2.055004363911797e-9,181571.60173160172,true
10,5.412101745605469e-5,1.3028529824405864e-9,184771.1013215859,true
9,4.9114227294921875e-5,9.91508904600662e-9,183246.29126213593,true
10,5.602836608886719e-5,1.7408208271181143e-9,178481.02127659574,true
10,5.602836608886719e-5,9.110266118609427e-10,178481.02127659574,true
10,5.3882598876953125e-5,2.322758181940181e-9,185588.67256637168,true
9,4.887580871582031e-5,7.584746668387834e-9,184140.1756097561,true
10,5.507469177246094e-5,1.3347109501815638e-9,181571.60173160172,true
9,4.982948303222656e-5,9.21238800225143e-9,180615.96172248805,true
10,5.3882598876953125e-5,2.488657433649457e-9,185588.67256637168,true
10,5.2928924560546875e-5,1.753983458120611e-9,188932.6126126126,true
9,5.1021575927734375e-5,9.633421934940367e-9,176395.96261682242,true
10,5.412101745605469e-5,1.0614773942497888e-9,184771.1013215859,true
9,4.9114227294921875e-5,6.049767676820546e-9,183246.29126213593,true
10,5.698204040527344e-5,9.092799230345234e-10,175493.8912133891,true
10,5.888938903808594e-5,7.796448286087713e-10,169809.87854251012,true
10,6.604194641113281e-5,1.0305882740967414e-9,151418.91696750902,true
9,5.1021575927734375e-5,6.063112768580058e-9,176395.96261682242,true
10,5.3882598876953125e-5,1.1852182136702616e-9,185588.67256637168,true
10,5.4836273193359375e-5,7.047806508890811e-10,182361.04347826086,true
10,5.3882598876953125e-5,1.4401445645165255e-9,185588.67256637168,true
10,5.4836273193359375e-5,6.484916526938418e-10,182361.04347826086,true
10,5.3882598876953125e-5,7.97728670874358e-10,185588.67256637168,true
10,5.2928924560546875e-5,1.9998928706093905e-9,188932.6126126126,true
9,5.0067901611328125e-5,5.60415490368592e-9,179755.88571428572,true
