iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
109,0.0013020038604736328,1.3442963101705592e-9,83717.10968687054,true
74,0.00030994415283203125,5.2073355736109066e-11,238752.68923076923,true
38,0.0001430511474609375,1.854643579897267e-13,265639.25333333336,true
181,0.000659942626953125,4.806567934847305e-15,274266.26589595375,true
613,0.0022411346435546875,3.141857595820751e-11,273522.165106383,true
132,0.0004811286926269531,2.8655489036241814e-9,274354.87016848364,true
144,0.0005280971527099609,5.3060543453206066e-11,272677.09977426636,true
12,4.100799560546875e-5,1.2602767311110714e-15,292625.8604651163,true
204,0.0007460117340087891,2.8618203181670357e-9,273454.1438159156,true
172,0.0006351470947265625,5.407719410931396e-15,270803.4114114114,true
30,0.00010800361633300781,1.9691435842328354e-10,277768.4768211921,true
194,0.0007240772247314453,7.027840268359841e-15,267927.2229173526,true
181,0.0006618499755859375,1.4875563977727293e-13,273475.8731988473,true
306,0.0011248588562011719,1.3735260901861073e-10,272034.12971598137,true
30,0.00010704994201660156,2.303241946055543e-14,280243.0289532294,true
42,0.0001609325408935547,4.51430309695967e-11,260978.91555555555,true
16,6.103515625e-5,7.249268673740635e-15,262144.0,true
79,0.0003540515899658203,8.828893676104231e-11,223131.3239057239,true
13,4.410743713378906e-5,5.1921318230042925e-9,294734.8756756757,true
30,0.00010895729064941406,5.528985788726794e-10,275337.2428884026,true
15,5.3882598876953125e-5,1.1229463932255204e-11,278383.00884955755,true
11,3.981590270996094e-5,1.2189272349761849e-9,276271.52095808386,true
108,0.0004229545593261719,2.701855197481925e-15,255346.57948139796,true
72,0.0002779960632324219,9.019832939389747e-10,258996.47341337908,true
214,0.0008149147033691406,2.3814649902070076e-9,262604.1708601521,true
30,0.00011301040649414062,8.152618571226296e-10,265462.2784810127,true
275,0.0010340213775634766,5.418267883054094e-9,265951.94835139497,true
99,0.0003609657287597656,4.066471498544621e-9,274264.2642007926,true
70,0.0002560615539550781,2.8716681893338494e-9,273371.7690875233,true
226,0.0008759498596191406,5.179875770569754e-16,258005.63527490472,true
