iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
7,0.0011789798736572266,8.285650383423846e-9,5937.336299292215,true
7,5.1021575927734375e-5,8.285675405062884e-9,137196.8598130841,true
7,1.5974044799804688e-5,8.28793669576702e-9,438210.8656716418,true
7,1.5020370483398438e-5,8.285402723506351e-9,466033.77777777775,true
7,1.4066696166992188e-5,8.285657928016936e-9,497629.28813559323,true
7,1.5020370483398438e-5,8.28595384608796e-9,466033.77777777775,true
7,1.4066696166992188e-5,8.285608277333871e-9,497629.28813559323,true
7,1.5020370483398438e-5,8.285705592672635e-9,466033.77777777775,true
7,1.5020370483398438e-5,8.285655544784111e-9,466033.77777777775,true
7,1.4066696166992188e-5,8.285754846150241e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285761201438153e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.28506013379279e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285655544784111e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285650381142029e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285696854204333e-9,497629.28813559323,true
7,1.3828277587890625e-5,8.285656339195034e-9,506209.1034482759,true
7,1.5020370483398438e-5,8.285607085717437e-9,466033.77777777775,true
7,1.5020370483398438e-5,8.285751668506742e-9,466033.77777777775,true
7,1.5020370483398438e-5,8.286103989753559e-9,466033.77777777775,true
7,1.4066696166992188e-5,8.285712742371708e-9,497629.28813559323,true
7,1.5020370483398438e-5,8.285060332395522e-9,466033.77777777775,true
7,1.4066696166992188e-5,8.285564981939176e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285705791275366e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285767556727286e-9,497629.28813559323,true
7,1.3828277587890625e-5,8.285608277333871e-9,506209.1034482759,true
7,1.3828277587890625e-5,8.285657133605975e-9,506209.1034482759,true
7,1.3828277587890625e-5,8.285709366263009e-9,506209.1034482759,true
7,1.4066696166992188e-5,8.28561185218343e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285706387083566e-9,497629.28813559323,true
7,1.4066696166992188e-5,8.285705791275366e-9,497629.28813559323,true
