iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
224,0.003954887390136719,9.40232797599512e-9,56638.7808054015,true
222,0.002705097198486328,9.370930900675571e-9,82067.2913802221,true
217,0.002643108367919922,9.959198425222577e-9,82100.30380660293,true
219,0.0026290416717529297,9.780236372541245e-9,83300.31522626281,true
218,0.0026559829711914062,9.30998792639897e-9,82078.839497307,true
227,0.02226090431213379,9.8555653609725e-9,10197.249708147243,true
230,0.0027370452880859375,9.067023942570394e-9,84032.22299651567,true
227,0.0026221275329589844,9.944855021069358e-9,86570.92271322059,true
228,0.0026040077209472656,9.616710582585117e-9,87557.34407617652,true
222,0.0026099681854248047,9.188045982432334e-9,85058.50808440668,true
224,0.0024840831756591797,9.971654203254096e-9,90174.11421441597,true
218,0.002572774887084961,9.291127751350889e-9,84733.41414141415,true
226,0.008440971374511719,9.816904307191161e-9,26774.16969833917,true
217,0.002321958541870117,9.456588527539736e-9,93455.58763733442,true
219,0.0022928714752197266,9.981447787816029e-9,95513.42164916293,true
224,0.002485990524291992,9.555287423844948e-9,90104.9291263067,true
215,0.0021638870239257812,9.449729868974856e-9,99358.23710885854,true
217,0.002149820327758789,9.986533852692448e-9,100938.66784961738,true
227,0.003468036651611328,9.341170675604327e-9,65454.90224116595,true
224,0.0023272037506103516,9.53131886674776e-9,96252.85278147731,true
231,0.0023238658905029297,9.583729404989121e-9,99403.32656201908,true
217,0.002259969711303711,9.25042442548904e-9,96018.98596898407,true
227,0.002279043197631836,9.694869417425567e-9,99603.2020085783,true
220,0.0034799575805664062,9.186965046185962e-9,63219.16141408605,true
226,0.0022890567779541016,9.766442659621685e-9,98730.62222685137,true
224,0.0022161006927490234,9.659740683673637e-9,101078.43959117806,true
222,0.0021958351135253906,9.785071246824098e-9,101100.48729641693,true
220,0.003319978713989258,8.977020154045685e-9,66265.48509874327,true
221,0.0023260116577148438,9.387875841331933e-9,95012.42148421484,true
220,0.0022161006927490234,9.322543030372003e-9,99273.4674556213,true
