iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
84,0.036171913146972656,6.797816822445344e-9,2322.243771256822,true
125,0.04938006401062012,9.82357295526355e-9,2531.3859450063974,true
42,0.014286041259765625,1.9526664677587006e-9,2939.9327102803736,true
34,0.011229991912841797,6.029943105263253e-9,3027.606810751136,true
44,0.015360832214355469,8.52283605907303e-9,2864.4281368349166,true
94,0.03219413757324219,5.774538020138647e-9,2919.7862432608567,true
45,0.015140056610107422,4.971241479632235e-9,2972.2478032187964,true
107,0.036624908447265625,9.936503794575499e-9,2921.5090094781795,true
80,0.027462005615234375,9.949349236389489e-9,2913.1157105153493,true
41,0.01409006118774414,4.6612204361074515e-9,2909.8525161595994,true
69,0.02361583709716797,8.985052165978502e-9,2921.768121794613,true
50,0.016624927520751953,5.304056867477029e-9,3007.531908791051,true
53,0.01764512062072754,9.889051782477697e-9,3003.6632301476848,true
91,0.03121185302734375,8.80557521691896e-9,2915.5590320215106,true
38,0.012630939483642578,5.350270926752205e-9,3008.485635546831,true
104,0.035832881927490234,8.847892843190483e-9,2902.3621435320106,true
92,0.03131103515625,9.15941287258014e-9,2938.261208576998,true
102,0.03584098815917969,9.917862286168034e-9,2845.903677292321,true
59,0.019868135452270508,6.664507754605971e-9,2969.579110316441,true
59,0.01953601837158203,2.2563635821154223e-9,3020.0626800097634,true
37,0.012311935424804688,7.266309973809524e-9,3005.213942680093,true
75,0.025686025619506836,8.968644133552216e-9,2919.8756207360652,true
62,0.020863056182861328,9.535607167312913e-9,2971.760199300619,true
57,0.019208192825317383,9.790614134521247e-9,2967.4837460435674,true
103,0.034262895584106445,8.64677625067579e-9,3006.167407747601,true
134,0.04510092735290527,9.402581470899603e-9,2971.1140738077993,true
36,0.012407064437866211,3.1583891190778484e-9,2901.5727435192834,true
34,0.011448144912719727,2.100841944920555e-9,2969.9134889726556,true
39,0.012526988983154297,8.205406287831664e-9,3113.278063263675,true
75,0.02449798583984375,6.26893427154138e-9,3061.4761756462162,true
