----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/ARGLINA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 200
| 1 |Execution Info - Random | Iters:      2 | TTime: 0.21622 | LastNorm: 7.31212e-12 | Iterations/sec: 9.24975 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03052 | LastNorm: 7.28230e-12 | Iterations/sec: 65.52013 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03187 | LastNorm: 7.28588e-12 | Iterations/sec: 62.75469 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03169 | LastNorm: 7.30739e-12 | Iterations/sec: 63.10166 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03166 | LastNorm: 7.31403e-12 | Iterations/sec: 63.16533 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03169 | LastNorm: 7.31323e-12 | Iterations/sec: 63.11732 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03164 | LastNorm: 7.28252e-12 | Iterations/sec: 63.20483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03187 | LastNorm: 7.28216e-12 | Iterations/sec: 62.75094 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03153 | LastNorm: 7.31738e-12 | Iterations/sec: 63.43952 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03162 | LastNorm: 7.31279e-12 | Iterations/sec: 63.26107 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03171 | LastNorm: 7.28558e-12 | Iterations/sec: 63.07129 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03159 | LastNorm: 7.28247e-12 | Iterations/sec: 63.30882 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03162 | LastNorm: 7.31411e-12 | Iterations/sec: 63.24676 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03165 | LastNorm: 7.28029e-12 | Iterations/sec: 63.18341 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03171 | LastNorm: 7.31448e-12 | Iterations/sec: 63.07746 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03148 | LastNorm: 7.28182e-12 | Iterations/sec: 63.53851 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03193 | LastNorm: 7.34632e-12 | Iterations/sec: 62.64316 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03156 | LastNorm: 7.28885e-12 | Iterations/sec: 63.36333 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03174 | LastNorm: 7.27410e-12 | Iterations/sec: 63.00970 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03157 | LastNorm: 7.27602e-12 | Iterations/sec: 63.35328 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03189 | LastNorm: 7.35063e-12 | Iterations/sec: 62.72138 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03142 | LastNorm: 7.28408e-12 | Iterations/sec: 63.65374 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.21598 | LastNorm: 7.29276e-12 | Iterations/sec: 9.26011 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03231 | LastNorm: 7.28191e-12 | Iterations/sec: 61.89484 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03166 | LastNorm: 7.28050e-12 | Iterations/sec: 63.16723 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03180 | LastNorm: 7.31324e-12 | Iterations/sec: 62.89349 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03174 | LastNorm: 7.28253e-12 | Iterations/sec: 63.01633 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03163 | LastNorm: 7.32097e-12 | Iterations/sec: 63.23294 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03185 | LastNorm: 7.31325e-12 | Iterations/sec: 62.80214 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03173 | LastNorm: 7.28652e-12 | Iterations/sec: 63.02769 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:      2 | TTime: 0.04396 | LastNorm: 7.29867e-12 | Iterations/sec: 59.56770 | Convergence: true |
| 2 |Execution Info - Random | Iters:      2 | TTime: 0.03207 | LastNorm: 1.02726e-11 | Iterations/sec: 62.37301 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03189 | LastNorm: 1.02812e-11 | Iterations/sec: 62.72138 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03191 | LastNorm: 1.03010e-11 | Iterations/sec: 62.66656 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03146 | LastNorm: 1.02804e-11 | Iterations/sec: 63.58282 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03188 | LastNorm: 1.02268e-11 | Iterations/sec: 62.72748 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03149 | LastNorm: 1.02757e-11 | Iterations/sec: 63.51830 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03161 | LastNorm: 1.03035e-11 | Iterations/sec: 63.26298 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03163 | LastNorm: 1.02797e-11 | Iterations/sec: 63.23532 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03166 | LastNorm: 1.02239e-11 | Iterations/sec: 63.17294 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03142 | LastNorm: 1.02775e-11 | Iterations/sec: 63.64939 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03160 | LastNorm: 1.02659e-11 | Iterations/sec: 63.28923 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03167 | LastNorm: 1.02755e-11 | Iterations/sec: 63.14536 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03162 | LastNorm: 1.02653e-11 | Iterations/sec: 63.24915 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03159 | LastNorm: 1.02960e-11 | Iterations/sec: 63.30308 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03161 | LastNorm: 1.02786e-11 | Iterations/sec: 63.28112 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03179 | LastNorm: 1.01652e-11 | Iterations/sec: 62.91094 | Convergence: true |
