----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/ARGLINA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 200
| 1 |Execution Info - Random | Iters:      2 | TTime: 0.20495 | LastNorm: 7.31212e-12 | Iterations/sec: 9.75829 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.02935 | LastNorm: 7.28230e-12 | Iterations/sec: 68.13415 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03054 | LastNorm: 7.28588e-12 | Iterations/sec: 65.47922 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03049 | LastNorm: 7.30739e-12 | Iterations/sec: 65.60160 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03038 | LastNorm: 7.31403e-12 | Iterations/sec: 65.82863 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03035 | LastNorm: 7.31323e-12 | Iterations/sec: 65.90051 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03023 | LastNorm: 7.28252e-12 | Iterations/sec: 66.15517 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03038 | LastNorm: 7.28216e-12 | Iterations/sec: 65.83276 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03025 | LastNorm: 7.31738e-12 | Iterations/sec: 66.12440 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03041 | LastNorm: 7.31279e-12 | Iterations/sec: 65.77237 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03024 | LastNorm: 7.28558e-12 | Iterations/sec: 66.13952 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03036 | LastNorm: 7.28247e-12 | Iterations/sec: 65.88498 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03048 | LastNorm: 7.31411e-12 | Iterations/sec: 65.61905 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03026 | LastNorm: 7.28029e-12 | Iterations/sec: 66.09367 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03053 | LastNorm: 7.31448e-12 | Iterations/sec: 65.50274 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03035 | LastNorm: 7.28182e-12 | Iterations/sec: 65.90051 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03052 | LastNorm: 7.34632e-12 | Iterations/sec: 65.53293 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03029 | LastNorm: 7.28885e-12 | Iterations/sec: 66.02812 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03032 | LastNorm: 7.27410e-12 | Iterations/sec: 65.97203 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03025 | LastNorm: 7.27602e-12 | Iterations/sec: 66.11763 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03046 | LastNorm: 7.35063e-12 | Iterations/sec: 65.66836 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03036 | LastNorm: 7.28408e-12 | Iterations/sec: 65.87619 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03035 | LastNorm: 7.29276e-12 | Iterations/sec: 65.89792 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03025 | LastNorm: 7.28191e-12 | Iterations/sec: 66.11554 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03042 | LastNorm: 7.28050e-12 | Iterations/sec: 65.75072 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03044 | LastNorm: 7.31324e-12 | Iterations/sec: 65.71157 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03043 | LastNorm: 7.28253e-12 | Iterations/sec: 65.72650 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03022 | LastNorm: 7.32097e-12 | Iterations/sec: 66.18336 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03057 | LastNorm: 7.31325e-12 | Iterations/sec: 65.43427 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03025 | LastNorm: 7.28652e-12 | Iterations/sec: 66.12023 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:      2 | TTime: 0.03616 | LastNorm: 7.29867e-12 | Iterations/sec: 64.06210 | Convergence: true |
| 2 |Execution Info - Random | Iters:      2 | TTime: 0.03101 | LastNorm: 1.02726e-11 | Iterations/sec: 64.49947 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03050 | LastNorm: 1.02812e-11 | Iterations/sec: 65.58006 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03029 | LastNorm: 1.03010e-11 | Iterations/sec: 66.03539 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03038 | LastNorm: 1.02804e-11 | Iterations/sec: 65.84361 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03045 | LastNorm: 1.02268e-11 | Iterations/sec: 65.68122 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03033 | LastNorm: 1.02757e-11 | Iterations/sec: 65.94351 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03067 | LastNorm: 1.03035e-11 | Iterations/sec: 65.21857 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03035 | LastNorm: 1.02797e-11 | Iterations/sec: 65.90414 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03053 | LastNorm: 1.02239e-11 | Iterations/sec: 65.50274 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03040 | LastNorm: 1.02775e-11 | Iterations/sec: 65.78062 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03033 | LastNorm: 1.02659e-11 | Iterations/sec: 65.93885 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03038 | LastNorm: 1.02755e-11 | Iterations/sec: 65.83483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03022 | LastNorm: 1.02653e-11 | Iterations/sec: 66.17918 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03053 | LastNorm: 1.02960e-11 | Iterations/sec: 65.50939 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03028 | LastNorm: 1.02786e-11 | Iterations/sec: 66.05463 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03039 | LastNorm: 1.01652e-11 | Iterations/sec: 65.82191 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03035 | LastNorm: 1.02614e-11 | Iterations/sec: 65.90621 | Convergence: true |
