----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BRKMCC.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     21 | TTime: 0.15460 | LastNorm: 8.23719e-12 | Iterations/sec: 135.83093 | Convergence: true |
Execution Info - Random | Iters:     12 | TTime: 0.00020 | LastNorm: 9.37911e-12 | Iterations/sec: 59144.12221 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00048 | LastNorm: 9.37911e-12 | Iterations/sec: 58926.49875 | Convergence: true |
Execution Info - Random | Iters:     12 | TTime: 0.00012 | LastNorm: 9.28594e-12 | Iterations/sec: 102508.44807 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00033 | LastNorm: 9.37911e-12 | Iterations/sec: 70363.96207 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00014 | LastNorm: 9.37911e-12 | Iterations/sec: 95492.03503 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00013 | LastNorm: 9.26950e-12 | Iterations/sec: 97892.19390 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00007 | LastNorm: 9.37005e-12 | Iterations/sec: 122910.00733 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00018 | LastNorm: 9.37911e-12 | Iterations/sec: 90443.21294 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00046 | LastNorm: 9.37911e-12 | Iterations/sec: 67369.64974 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00025 | LastNorm: 9.12328e-12 | Iterations/sec: 78766.27230 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00024 | LastNorm: 9.07605e-12 | Iterations/sec: 79851.47896 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00022 | LastNorm: 9.36893e-12 | Iterations/sec: 76178.59829 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00021 | LastNorm: 9.11242e-12 | Iterations/sec: 81676.02291 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00027 | LastNorm: 9.01410e-12 | Iterations/sec: 73519.78966 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00017 | LastNorm: 9.37140e-12 | Iterations/sec: 92436.45179 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00017 | LastNorm: 9.37911e-12 | Iterations/sec: 92056.05487 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00019 | LastNorm: 9.37911e-12 | Iterations/sec: 94727.06650 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00020 | LastNorm: 9.37911e-12 | Iterations/sec: 86323.44794 | Convergence: true |
Execution Info - Random | Iters:     10 | TTime: 0.00009 | LastNorm: 9.33176e-12 | Iterations/sec: 113666.77507 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00016 | LastNorm: 9.37911e-12 | Iterations/sec: 84855.86127 | Convergence: true |
Execution Info - Random | Iters:     15 | TTime: 0.00015 | LastNorm: 9.37911e-12 | Iterations/sec: 98766.97017 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00006 | LastNorm: 9.37140e-12 | Iterations/sec: 140395.11297 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00017 | LastNorm: 9.37911e-12 | Iterations/sec: 98757.85042 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00046 | LastNorm: 9.36893e-12 | Iterations/sec: 68110.75118 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00027 | LastNorm: 9.37911e-12 | Iterations/sec: 74631.74377 | Convergence: true |
Execution Info - Random | Iters:     12 | TTime: 0.00011 | LastNorm: 9.37911e-12 | Iterations/sec: 111107.39073 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00029 | LastNorm: 9.36770e-12 | Iterations/sec: 80123.74751 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00011 | LastNorm: 9.37911e-12 | Iterations/sec: 115033.65401 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00020 | LastNorm: 9.37909e-12 | Iterations/sec: 85393.01557 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     17 | TTime: 0.00536 | LastNorm: 9.29115e-12 | Iterations/sec: 86385.46723 | Convergence: true |
| 2 |Execution Info - Random | Iters:      5 | TTime: 0.00005 | LastNorm: 5.88292e-12 | Iterations/sec: 101803.49515 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00003 | LastNorm: 5.87577e-12 | Iterations/sec: 199728.76190 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00004 | LastNorm: 5.88292e-12 | Iterations/sec: 128659.63190 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00003 | LastNorm: 5.87577e-12 | Iterations/sec: 199728.76190 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.87577e-12 | Iterations/sec: 275941.05263 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.88292e-12 | Iterations/sec: 295373.52113 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.87577e-12 | Iterations/sec: 249660.95238 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.87577e-12 | Iterations/sec: 252668.91566 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.88292e-12 | Iterations/sec: 295373.52113 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.88292e-12 | Iterations/sec: 295373.52113 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.89063e-12 | Iterations/sec: 308404.70588 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.87577e-12 | Iterations/sec: 291271.11111 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.88292e-12 | Iterations/sec: 249660.95238 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.88292e-12 | Iterations/sec: 238312.72727 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.89063e-12 | Iterations/sec: 275941.05263 | Convergence: true |
Execution Info - Random | Iters:      5 | TTime: 0.00002 | LastNorm: 5.87577e-12 | Iterations/sec: 279620.26667 | Convergence: true |
