----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BROWNBS.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     31 | TTime: 0.15246 | LastNorm: 0.00000e+00 | Iterations/sec: 203.33062 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 114286.21253 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00023 | LastNorm: 2.32831e-09 | Iterations/sec: 99967.86736 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00021 | LastNorm: 0.00000e+00 | Iterations/sec: 100433.73318 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00018 | LastNorm: 8.88178e-10 | Iterations/sec: 124359.41779 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 136441.21446 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00016 | LastNorm: 9.31323e-10 | Iterations/sec: 129529.97647 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00015 | LastNorm: 8.88178e-10 | Iterations/sec: 145773.59874 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00021 | LastNorm: 5.01423e-10 | Iterations/sec: 98523.91946 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.00037 | LastNorm: 8.88178e-10 | Iterations/sec: 102960.95090 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00012 | LastNorm: 7.92869e-09 | Iterations/sec: 145220.30143 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00023 | LastNorm: 0.00000e+00 | Iterations/sec: 127767.66387 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 143922.19608 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00016 | LastNorm: 3.72529e-09 | Iterations/sec: 103638.32558 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 125696.80757 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 162305.04277 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 141800.31317 | Convergence: true |
Execution Info - Random | Iters:     24 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 130392.87047 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00021 | LastNorm: 8.88178e-10 | Iterations/sec: 140748.45638 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 146910.82312 | Convergence: true |
Execution Info - Random | Iters:     37 | TTime: 0.00032 | LastNorm: 0.00000e+00 | Iterations/sec: 116333.76912 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00028 | LastNorm: 0.00000e+00 | Iterations/sec: 108806.21255 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 126577.07545 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00023 | LastNorm: 0.00000e+00 | Iterations/sec: 123361.88235 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00022 | LastNorm: 8.16116e-09 | Iterations/sec: 127791.63439 | Convergence: true |
Execution Info - Random | Iters:    393 | TTime: 0.00241 | LastNorm: 0.00000e+00 | Iterations/sec: 163333.47919 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 206455.37824 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 149796.57143 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 130489.45778 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 157629.07190 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     36 | TTime: 0.00534 | LastNorm: 9.04297e-10 | Iterations/sec: 127715.25181 | Convergence: true |
| 2 |Execution Info - Random | Iters:     23 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 118077.10159 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00016 | LastNorm: 1.28694e-09 | Iterations/sec: 132252.82883 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00012 | LastNorm: 8.88178e-10 | Iterations/sec: 147744.56360 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 155025.60986 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 199728.76190 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00009 | LastNorm: 8.88178e-10 | Iterations/sec: 190650.18182 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 154350.38720 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 222509.49602 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 185897.13019 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 214307.50365 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 154286.38692 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00008 | LastNorm: 0.00000e+00 | Iterations/sec: 210372.61442 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00008 | LastNorm: 2.32831e-10 | Iterations/sec: 207276.65116 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00010 | LastNorm: 8.84756e-09 | Iterations/sec: 181117.67273 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 152125.01554 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 153368.82671 | Convergence: true |
