----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BROWNBS.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     53 | TTime: 0.14192 | LastNorm: 2.74708e-09 | Iterations/sec: 373.46089 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00021 | LastNorm: 0.00000e+00 | Iterations/sec: 328586.02765 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 401133.10067 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 391211.84098 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 0.00015 | LastNorm: 8.88178e-10 | Iterations/sec: 488991.10673 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 435474.18579 | Convergence: true |
Execution Info - Random | Iters:     64 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 492542.12110 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.00012 | LastNorm: 2.32831e-10 | Iterations/sec: 504277.00763 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00012 | LastNorm: 8.88178e-10 | Iterations/sec: 474664.03292 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 460737.93939 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 473442.89984 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 440677.34334 | Convergence: true |
Execution Info - Random | Iters:    103 | TTime: 0.00021 | LastNorm: 0.00000e+00 | Iterations/sec: 481083.86637 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 420915.98583 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 398492.65056 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.00017 | LastNorm: 1.39698e-09 | Iterations/sec: 439288.65423 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 440613.75354 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00015 | LastNorm: 8.88178e-10 | Iterations/sec: 440467.66144 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00014 | LastNorm: 6.21725e-09 | Iterations/sec: 446049.48199 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 491453.80202 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 446049.48199 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 495919.71142 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 436444.33157 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 466033.77778 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 459760.24615 | Convergence: true |
Execution Info - Random | Iters:    103 | TTime: 0.00022 | LastNorm: 5.82077e-09 | Iterations/sec: 476835.88521 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00013 | LastNorm: 8.88178e-10 | Iterations/sec: 488809.86466 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 475354.45333 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 462298.03607 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00016 | LastNorm: 2.32831e-10 | Iterations/sec: 497197.13070 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     65 | TTime: 0.00487 | LastNorm: 6.73349e-10 | Iterations/sec: 438505.99473 | Convergence: true |
| 2 |Execution Info - Random | Iters:     81 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 407360.46043 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 439554.58586 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 404038.45872 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00021 | LastNorm: 2.32831e-10 | Iterations/sec: 454975.34915 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 459923.68057 | Convergence: true |
Execution Info - Random | Iters:     91 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 468896.39312 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 464818.56584 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00019 | LastNorm: 8.88178e-10 | Iterations/sec: 489423.17691 | Convergence: true |
Execution Info - Random | Iters:     91 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 478897.94730 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 477022.09154 | Convergence: true |
Execution Info - Random | Iters:     91 | TTime: 0.00020 | LastNorm: 3.75167e-09 | Iterations/sec: 462084.33898 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 484559.34410 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 492241.05623 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 467150.02635 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 511232.33552 | Convergence: true |
Execution Info - Random | Iters:     95 | TTime: 0.00021 | LastNorm: 6.98492e-10 | Iterations/sec: 443718.12918 | Convergence: true |
