----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/CLIFF.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     28 | TTime: 0.15342 | LastNorm: 8.17814e-12 | Iterations/sec: 182.50075 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00016 | LastNorm: 8.19062e-12 | Iterations/sec: 172960.98969 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00012 | LastNorm: 8.19054e-12 | Iterations/sec: 227597.89147 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00013 | LastNorm: 8.17280e-12 | Iterations/sec: 223696.21333 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 8.17814e-12 | Iterations/sec: 249873.42979 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17783e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 266910.25455 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00012 | LastNorm: 8.17798e-12 | Iterations/sec: 231638.09073 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00009 | LastNorm: 8.17579e-12 | Iterations/sec: 301129.51795 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17830e-12 | Iterations/sec: 282989.18554 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 274393.71963 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17877e-12 | Iterations/sec: 276982.33962 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.18897e-12 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.16998e-12 | Iterations/sec: 280287.61814 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17751e-12 | Iterations/sec: 276982.33962 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17830e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17845e-12 | Iterations/sec: 274393.71963 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17579e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17783e-12 | Iterations/sec: 274393.71963 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17869e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17822e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17806e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.18254e-12 | Iterations/sec: 282989.18554 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17767e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00009 | LastNorm: 8.17280e-12 | Iterations/sec: 307435.89529 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 285049.78641 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 271853.03704 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17406e-12 | Iterations/sec: 274393.71963 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.17798e-12 | Iterations/sec: 285743.33820 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     28 | TTime: 0.00522 | LastNorm: 8.17852e-12 | Iterations/sec: 259469.60949 | Convergence: true |
| 2 |Execution Info - Random | Iters:     67 | TTime: 0.00028 | LastNorm: 2.61422e-14 | Iterations/sec: 241840.24785 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00026 | LastNorm: 2.60635e-14 | Iterations/sec: 261655.83613 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 296432.87764 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 288816.41110 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00022 | LastNorm: 2.60635e-14 | Iterations/sec: 301845.72288 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 3.86243e-14 | Iterations/sec: 280457.45309 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00022 | LastNorm: 2.60635e-14 | Iterations/sec: 303148.18554 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00022 | LastNorm: 3.87029e-14 | Iterations/sec: 300233.29915 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 291512.82988 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 286461.12946 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 283856.93737 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00025 | LastNorm: 3.86243e-14 | Iterations/sec: 266874.04368 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 290008.63571 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 3.86243e-14 | Iterations/sec: 287339.84458 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.62210e-14 | Iterations/sec: 282714.65594 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 286461.12946 | Convergence: true |
