----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/DENSCHNA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:      6 | TTime: 0.15229 | LastNorm: 2.81062e-11 | Iterations/sec: 39.39929 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00009 | LastNorm: 2.81062e-11 | Iterations/sec: 66052.03150 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 2.81062e-11 | Iterations/sec: 220752.84211 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00004 | LastNorm: 2.81062e-11 | Iterations/sec: 166661.08609 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 2.81057e-11 | Iterations/sec: 239674.51429 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 273541.56522 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 2.81057e-11 | Iterations/sec: 175984.78322 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 314572.80000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 249166.57426 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 285975.27273 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 318554.73418 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 318554.73418 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 314572.80000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 314572.80000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 2.81062e-11 | Iterations/sec: 239674.51429 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 2.81062e-11 | Iterations/sec: 239674.51429 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 318554.73418 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 314572.80000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 285975.27273 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81057e-11 | Iterations/sec: 303202.69880 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 314572.80000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 299593.14286 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 2.81062e-11 | Iterations/sec: 318554.73418 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:      6 | TTime: 0.00510 | LastNorm: 2.81061e-11 | Iterations/sec: 266340.10494 | Convergence: true |
| 2 |Execution Info - Random | Iters:      8 | TTime: 0.00008 | LastNorm: 3.52739e-49 | Iterations/sec: 106522.00635 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00005 | LastNorm: 1.14641e-22 | Iterations/sec: 173857.16062 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00006 | LastNorm: 2.78415e-22 | Iterations/sec: 145257.28139 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 1.40377e-23 | Iterations/sec: 216480.20645 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 1.16981e-23 | Iterations/sec: 211034.16352 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 1.40377e-23 | Iterations/sec: 234646.37762 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 4.44089e-16 | Iterations/sec: 215092.51282 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 1.21660e-22 | Iterations/sec: 229824.87671 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 1.63773e-23 | Iterations/sec: 215092.51282 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 9.35848e-24 | Iterations/sec: 268435.45600 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 4.67924e-24 | Iterations/sec: 277309.35537 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 2.66717e-22 | Iterations/sec: 275036.32787 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 1.87170e-22 | Iterations/sec: 228261.44218 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 4.44089e-16 | Iterations/sec: 228261.44218 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 2.55019e-21 | Iterations/sec: 228261.44218 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 1.63773e-23 | Iterations/sec: 228261.44218 | Convergence: true |
