----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/DENSCHNF.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:    125 | TTime: 0.17458 | LastNorm: 1.56237e-14 | Iterations/sec: 716.02133 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00015 | LastNorm: 1.87107e-11 | Iterations/sec: 194781.91950 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00016 | LastNorm: 3.77571e-10 | Iterations/sec: 272439.68580 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00023 | LastNorm: 2.09400e-10 | Iterations/sec: 240298.66667 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 222774.38828 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00026 | LastNorm: 2.96839e-09 | Iterations/sec: 258764.61142 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00013 | LastNorm: 1.56237e-14 | Iterations/sec: 271350.53604 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00015 | LastNorm: 8.13898e-11 | Iterations/sec: 283922.11692 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00008 | LastNorm: 1.31011e-09 | Iterations/sec: 259709.22601 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 302341.70380 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00011 | LastNorm: 3.19743e-10 | Iterations/sec: 289564.92050 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00019 | LastNorm: 9.56360e-10 | Iterations/sec: 298857.04177 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00016 | LastNorm: 5.34963e-10 | Iterations/sec: 285411.21893 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00011 | LastNorm: 6.54602e-10 | Iterations/sec: 265462.27848 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00011 | LastNorm: 1.91319e-14 | Iterations/sec: 284515.15098 | Convergence: true |
Execution Info - Random | Iters:     95 | TTime: 0.00032 | LastNorm: 7.99516e-09 | Iterations/sec: 298694.81259 | Convergence: true |
Execution Info - Random | Iters:    104 | TTime: 0.00034 | LastNorm: 1.30042e-12 | Iterations/sec: 305895.94390 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 1.72171e-10 | Iterations/sec: 275815.90930 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00017 | LastNorm: 1.56237e-14 | Iterations/sec: 293601.28000 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00014 | LastNorm: 2.11227e-11 | Iterations/sec: 290975.40440 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.00028 | LastNorm: 1.56237e-14 | Iterations/sec: 295983.58692 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 1.56237e-14 | Iterations/sec: 245691.44770 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 269358.97248 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00020 | LastNorm: 8.31259e-09 | Iterations/sec: 310318.43437 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00012 | LastNorm: 0.00000e+00 | Iterations/sec: 270336.00000 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00011 | LastNorm: 2.70734e-14 | Iterations/sec: 304565.64315 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00013 | LastNorm: 3.04240e-13 | Iterations/sec: 283292.57786 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 278246.21130 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00010 | LastNorm: 1.04911e-10 | Iterations/sec: 295948.45742 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.00018 | LastNorm: 9.71541e-10 | Iterations/sec: 265676.93801 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     48 | TTime: 0.00597 | LastNorm: 8.33682e-10 | Iterations/sec: 267177.03686 | Convergence: true |
| 2 |Execution Info - Random | Iters:      8 | TTime: 0.00007 | LastNorm: 3.68159e-10 | Iterations/sec: 122910.00733 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00005 | LastNorm: 3.68179e-10 | Iterations/sec: 159783.00952 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 3.68159e-10 | Iterations/sec: 222214.78146 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 250406.20896 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 250406.20896 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 243148.05797 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68159e-10 | Iterations/sec: 258111.01538 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68159e-10 | Iterations/sec: 258111.01538 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 307838.82569 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 266305.01587 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68159e-10 | Iterations/sec: 266305.01587 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 258111.01538 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00004 | LastNorm: 3.68179e-10 | Iterations/sec: 222214.78146 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68252e-10 | Iterations/sec: 243148.05797 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68179e-10 | Iterations/sec: 250406.20896 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00003 | LastNorm: 3.68159e-10 | Iterations/sec: 296941.87611 | Convergence: true |
