----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/GAUSSIAN.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 3
| 1 |Execution Info - Random | Iters:     42 | TTime: 0.15271 | LastNorm: 6.02939e-09 | Iterations/sec: 275.02602 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00037 | LastNorm: 3.43483e-09 | Iterations/sec: 122960.05212 | Convergence: true |
Execution Info - Random | Iters:     25 | TTime: 0.00018 | LastNorm: 3.95192e-09 | Iterations/sec: 141891.20433 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.00061 | LastNorm: 8.39141e-09 | Iterations/sec: 150850.65207 | Convergence: true |
Execution Info - Random | Iters:     10 | TTime: 0.00009 | LastNorm: 1.33898e-156 | Iterations/sec: 117487.50700 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00036 | LastNorm: 7.97965e-09 | Iterations/sec: 154512.20362 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00014 | LastNorm: 2.12254e-10 | Iterations/sec: 159716.87417 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00012 | LastNorm: 5.07767e-09 | Iterations/sec: 166771.53082 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00019 | LastNorm: 4.97970e-09 | Iterations/sec: 160291.87261 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00015 | LastNorm: 6.51095e-09 | Iterations/sec: 181193.93280 | Convergence: true |
Execution Info - Random | Iters:    197 | TTime: 0.00113 | LastNorm: 4.05072e-09 | Iterations/sec: 174651.84697 | Convergence: true |
Execution Info - Random | Iters:    330 | TTime: 0.00203 | LastNorm: 3.06226e-09 | Iterations/sec: 162245.96413 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00003 | LastNorm: 3.61351e-51 | Iterations/sec: 182361.04348 | Convergence: true |
Execution Info - Random | Iters:    154 | TTime: 0.00095 | LastNorm: 6.94010e-09 | Iterations/sec: 162455.43662 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00032 | LastNorm: 7.23269e-09 | Iterations/sec: 143341.74146 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.00023 | LastNorm: 8.62359e-09 | Iterations/sec: 172550.48101 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00032 | LastNorm: 1.13018e-09 | Iterations/sec: 113958.44830 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.00030 | LastNorm: 9.92406e-09 | Iterations/sec: 167247.46208 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00022 | LastNorm: 2.78681e-09 | Iterations/sec: 138470.10011 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00015 | LastNorm: 6.48837e-09 | Iterations/sec: 181193.93280 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00028 | LastNorm: 8.58032e-09 | Iterations/sec: 156530.42918 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00029 | LastNorm: 9.78137e-09 | Iterations/sec: 143922.19608 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00017 | LastNorm: 1.50769e-09 | Iterations/sec: 171558.27362 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00023 | LastNorm: 4.31704e-09 | Iterations/sec: 176014.80450 | Convergence: true |
Execution Info - Random | Iters:     12 | TTime: 0.00007 | LastNorm: 7.40014e-43 | Iterations/sec: 166661.08609 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00029 | LastNorm: 2.40019e-09 | Iterations/sec: 170133.19205 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 0.00043 | LastNorm: 4.89721e-09 | Iterations/sec: 141511.36283 | Convergence: true |
Execution Info - Random | Iters:    148 | TTime: 0.00102 | LastNorm: 6.94909e-09 | Iterations/sec: 145683.40577 | Convergence: true |
Execution Info - Random | Iters:    225 | TTime: 0.00145 | LastNorm: 6.62776e-09 | Iterations/sec: 155703.41528 | Convergence: true |
Execution Info - Random | Iters:    113 | TTime: 0.00077 | LastNorm: 8.39568e-10 | Iterations/sec: 147695.96510 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     68 | TTime: 0.00552 | LastNorm: 4.75689e-09 | Iterations/sec: 150994.71477 | Convergence: true |
| 2 |Execution Info - Random | Iters:    155 | TTime: 0.00120 | LastNorm: 6.26143e-09 | Iterations/sec: 129273.63691 | Convergence: true |
Execution Info - Random | Iters:    117 | TTime: 0.00077 | LastNorm: 4.11408e-09 | Iterations/sec: 152118.27898 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00051 | LastNorm: 5.11829e-09 | Iterations/sec: 166053.02282 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 0.00049 | LastNorm: 9.12982e-09 | Iterations/sec: 133344.92486 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.00033 | LastNorm: 6.47240e-09 | Iterations/sec: 153230.30372 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 0.00037 | LastNorm: 7.17668e-09 | Iterations/sec: 160906.80307 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 0.00059 | LastNorm: 1.69867e-09 | Iterations/sec: 112621.66965 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.02335 | LastNorm: 4.57390e-05 | Iterations/sec: 42832.23725 | Convergence: false |
Execution Info - Random | Iters:     62 | TTime: 0.00055 | LastNorm: 4.70174e-09 | Iterations/sec: 111896.23408 | Convergence: true |
Execution Info - Random | Iters:    171 | TTime: 0.00103 | LastNorm: 6.74417e-09 | Iterations/sec: 165373.75697 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00055 | LastNorm: 3.75221e-09 | Iterations/sec: 174233.31199 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00039 | LastNorm: 7.20199e-09 | Iterations/sec: 128817.69042 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.00046 | LastNorm: 9.88046e-09 | Iterations/sec: 157664.36251 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.02292 | LastNorm: 3.86499e-05 | Iterations/sec: 43630.22063 | Convergence: false |
Execution Info - Random | Iters:    109 | TTime: 0.00081 | LastNorm: 5.07524e-09 | Iterations/sec: 135380.25940 | Convergence: true |
Execution Info - Random | Iters:    119 | TTime: 0.00085 | LastNorm: 3.08968e-09 | Iterations/sec: 139692.74447 | Convergence: true |
