----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/HILBERTA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:      2 | TTime: 0.18464 | LastNorm: 7.08729e-14 | Iterations/sec: 10.83201 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00008 | LastNorm: 1.06746e-15 | Iterations/sec: 25343.22659 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 5.91564e-15 | Iterations/sec: 144631.17241 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00002 | LastNorm: 8.63154e-16 | Iterations/sec: 106184.91139 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00002 | LastNorm: 4.75735e-12 | Iterations/sec: 111848.10667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.64886e-14 | Iterations/sec: 220752.84211 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.48030e-15 | Iterations/sec: 182361.04348 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 4.23893e-15 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.94825e-13 | Iterations/sec: 226719.13514 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 4.90874e-14 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 4.16248e-14 | Iterations/sec: 199728.76190 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 8.54223e-15 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.37165e-14 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.90223e-14 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.68394e-11 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.11946e-15 | Iterations/sec: 254200.24242 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.02665e-14 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 3.11215e-15 | Iterations/sec: 254200.24242 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 3.22644e-14 | Iterations/sec: 167772.16000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 6.22429e-15 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.04029e-14 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 7.64183e-15 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.41676e-14 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 6.22429e-15 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.80375e-14 | Iterations/sec: 322638.76923 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 5.92119e-16 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.12330e-13 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.46838e-13 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.54548e-15 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.80986e-13 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:      2 | TTime: 0.00617 | LastNorm: 1.09024e-12 | Iterations/sec: 234815.45238 | Convergence: true |
| 2 |Execution Info - Random | Iters:      2 | TTime: 0.00005 | LastNorm: 2.75351e-15 | Iterations/sec: 40721.39806 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 8.86820e-15 | Iterations/sec: 155344.59259 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00002 | LastNorm: 3.02550e-14 | Iterations/sec: 111848.10667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.50270e-14 | Iterations/sec: 254200.24242 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.18333e-14 | Iterations/sec: 182361.04348 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.16041e-14 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.75276e-14 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 5.51454e-13 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.53759e-14 | Iterations/sec: 220752.84211 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.15207e-14 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 9.87482e-15 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 3.93509e-14 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 7.49399e-14 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.06192e-14 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.85481e-14 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.52233e-14 | Iterations/sec: 335544.32000 | Convergence: true |
