----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/HIMMELBB.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     35 | TTime: 0.14107 | LastNorm: 5.83513e-09 | Iterations/sec: 248.09852 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00014 | LastNorm: 5.83513e-09 | Iterations/sec: 248393.63790 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00009 | LastNorm: 5.83513e-09 | Iterations/sec: 389391.61804 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00010 | LastNorm: 5.83513e-09 | Iterations/sec: 352886.15385 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 431766.58824 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 442170.60241 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00009 | LastNorm: 5.83513e-09 | Iterations/sec: 397833.71274 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 466033.77778 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 443506.46526 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 421840.91954 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00009 | LastNorm: 5.83513e-09 | Iterations/sec: 406649.97230 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 417047.27273 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00007 | LastNorm: 5.83513e-09 | Iterations/sec: 486094.83444 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 421840.91954 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 443506.46526 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 412361.34831 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 421840.91954 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 412361.34831 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 421840.91954 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 436906.66667 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 421840.91954 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 431766.58824 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 415865.83569 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 420632.20630 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 438210.86567 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00009 | LastNorm: 5.83513e-09 | Iterations/sec: 411206.27451 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 431766.58824 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 438210.86567 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 436906.66667 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00008 | LastNorm: 5.83513e-09 | Iterations/sec: 443506.46526 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     35 | TTime: 0.00478 | LastNorm: 5.83513e-09 | Iterations/sec: 405481.18389 | Convergence: true |
| 2 |Execution Info - Random | Iters:     27 | TTime: 0.00009 | LastNorm: 8.69425e-09 | Iterations/sec: 293383.95855 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 449389.71429 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00007 | LastNorm: 8.69425e-09 | Iterations/sec: 408831.07581 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 466033.77778 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 473833.50628 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00007 | LastNorm: 8.69425e-09 | Iterations/sec: 381300.36364 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 481898.75745 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00007 | LastNorm: 8.69425e-09 | Iterations/sec: 401582.29787 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 416346.35294 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00007 | LastNorm: 8.69425e-09 | Iterations/sec: 414821.27473 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 458486.67206 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00007 | LastNorm: 8.69425e-09 | Iterations/sec: 414821.27473 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 473833.50628 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 420989.62082 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 422560.47761 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00006 | LastNorm: 8.69425e-09 | Iterations/sec: 442368.00000 | Convergence: true |
