----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/HIMMELBH.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     39 | TTime: 0.17241 | LastNorm: 8.56396e-10 | Iterations/sec: 226.20621 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00020 | LastNorm: 1.28604e-10 | Iterations/sec: 248513.77993 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.00027 | LastNorm: 2.79776e-14 | Iterations/sec: 343306.02135 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 0.00023 | LastNorm: 2.62355e-09 | Iterations/sec: 379713.26535 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00011 | LastNorm: 3.23852e-10 | Iterations/sec: 294493.68511 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 0.00024 | LastNorm: 3.38403e-10 | Iterations/sec: 327744.82295 | Convergence: true |
Execution Info - Random | Iters:    116 | TTime: 0.00033 | LastNorm: 1.87250e-11 | Iterations/sec: 349274.41780 | Convergence: true |
Execution Info - Random | Iters:     64 | TTime: 0.00018 | LastNorm: 9.32587e-15 | Iterations/sec: 353204.54737 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00010 | LastNorm: 9.25244e-09 | Iterations/sec: 319566.01905 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00010 | LastNorm: 5.66747e-12 | Iterations/sec: 400365.38182 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00009 | LastNorm: 7.09173e-09 | Iterations/sec: 360175.68975 | Convergence: true |
Execution Info - Random | Iters:     98 | TTime: 0.00025 | LastNorm: 4.42419e-11 | Iterations/sec: 388875.86755 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00013 | LastNorm: 2.20468e-10 | Iterations/sec: 368317.01792 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.00014 | LastNorm: 2.13163e-14 | Iterations/sec: 371556.74276 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00009 | LastNorm: 4.38658e-09 | Iterations/sec: 352277.50131 | Convergence: true |
Execution Info - Random | Iters:    108 | TTime: 0.00027 | LastNorm: 3.55715e-13 | Iterations/sec: 394242.67363 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.00021 | LastNorm: 8.79258e-10 | Iterations/sec: 386876.18448 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.00011 | LastNorm: 6.88782e-13 | Iterations/sec: 368418.59459 | Convergence: true |
Execution Info - Random | Iters:    100 | TTime: 0.00025 | LastNorm: 6.15774e-12 | Iterations/sec: 392357.71749 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00009 | LastNorm: 8.84626e-13 | Iterations/sec: 339791.71646 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.00011 | LastNorm: 2.50953e-09 | Iterations/sec: 358165.28539 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 364269.57816 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00025 | LastNorm: 4.52669e-10 | Iterations/sec: 377723.43715 | Convergence: true |
Execution Info - Random | Iters:    136 | TTime: 0.00039 | LastNorm: 8.92619e-14 | Iterations/sec: 352331.89870 | Convergence: true |
Execution Info - Random | Iters:     37 | TTime: 0.00010 | LastNorm: 4.25352e-10 | Iterations/sec: 366877.65485 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00023 | LastNorm: 2.37131e-09 | Iterations/sec: 376071.56118 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00009 | LastNorm: 4.00982e-10 | Iterations/sec: 344148.02051 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.00010 | LastNorm: 4.39062e-11 | Iterations/sec: 389471.08571 | Convergence: true |
Execution Info - Random | Iters:     97 | TTime: 0.00026 | LastNorm: 1.58235e-09 | Iterations/sec: 377409.54360 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00011 | LastNorm: 0.00000e+00 | Iterations/sec: 385472.14004 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     63 | TTime: 0.00592 | LastNorm: 1.13214e-09 | Iterations/sec: 347707.93527 | Convergence: true |
| 2 |Execution Info - Random | Iters:     36 | TTime: 0.00014 | LastNorm: 3.93509e-10 | Iterations/sec: 257231.59114 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 333393.39487 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00010 | LastNorm: 6.05955e-11 | Iterations/sec: 323441.35323 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 363917.55294 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00008 | LastNorm: 6.96611e-09 | Iterations/sec: 386142.27302 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00016 | LastNorm: 1.40203e-09 | Iterations/sec: 345857.15142 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00008 | LastNorm: 0.00000e+00 | Iterations/sec: 359145.29664 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 350384.11794 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 361945.01523 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00008 | LastNorm: 3.14351e-10 | Iterations/sec: 400649.93433 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00008 | LastNorm: 1.05516e-12 | Iterations/sec: 338048.38209 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00008 | LastNorm: 4.55636e-13 | Iterations/sec: 341396.83721 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00009 | LastNorm: 1.27605e-09 | Iterations/sec: 367140.66844 | Convergence: true |
Execution Info - Random | Iters:     25 | TTime: 0.00007 | LastNorm: 7.55396e-13 | Iterations/sec: 351871.14094 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00009 | LastNorm: 7.99361e-15 | Iterations/sec: 364211.27171 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00009 | LastNorm: 3.54383e-13 | Iterations/sec: 361945.01523 | Convergence: true |
