----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/MARATOSB.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     39 | TTime: 0.14182 | LastNorm: 9.43247e-11 | Iterations/sec: 275.00211 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00021 | LastNorm: 9.38293e-11 | Iterations/sec: 233016.88889 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00017 | LastNorm: 1.07589e-10 | Iterations/sec: 257143.97820 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00020 | LastNorm: 9.34368e-11 | Iterations/sec: 222837.87485 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00014 | LastNorm: 1.92783e-09 | Iterations/sec: 282839.57895 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00016 | LastNorm: 9.35395e-11 | Iterations/sec: 267192.69926 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00016 | LastNorm: 9.58158e-11 | Iterations/sec: 281287.15350 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00014 | LastNorm: 1.78663e-10 | Iterations/sec: 283878.44332 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00018 | LastNorm: 9.39287e-11 | Iterations/sec: 258283.78046 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00017 | LastNorm: 9.40739e-11 | Iterations/sec: 301314.94253 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00013 | LastNorm: 9.84361e-11 | Iterations/sec: 296417.24382 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00014 | LastNorm: 5.40648e-09 | Iterations/sec: 305169.32657 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00013 | LastNorm: 9.47667e-11 | Iterations/sec: 296417.24382 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00015 | LastNorm: 9.34183e-11 | Iterations/sec: 301989.88800 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.00015 | LastNorm: 9.47406e-11 | Iterations/sec: 303280.44308 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00014 | LastNorm: 9.34183e-11 | Iterations/sec: 300103.52300 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00014 | LastNorm: 1.21398e-10 | Iterations/sec: 295894.46208 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00014 | LastNorm: 9.34292e-11 | Iterations/sec: 296068.51765 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00015 | LastNorm: 9.41298e-11 | Iterations/sec: 301551.26797 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00014 | LastNorm: 9.34183e-11 | Iterations/sec: 299072.11130 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00014 | LastNorm: 5.23578e-09 | Iterations/sec: 285812.87905 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 0.00020 | LastNorm: 1.68296e-09 | Iterations/sec: 304949.39690 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 0.00016 | LastNorm: 9.86104e-11 | Iterations/sec: 321240.04624 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00017 | LastNorm: 1.68441e-09 | Iterations/sec: 314287.08447 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00015 | LastNorm: 1.68294e-09 | Iterations/sec: 296300.91052 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00016 | LastNorm: 1.68294e-09 | Iterations/sec: 282974.03298 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00015 | LastNorm: 9.34183e-11 | Iterations/sec: 271668.97946 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.00016 | LastNorm: 9.34183e-11 | Iterations/sec: 324597.12291 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00014 | LastNorm: 1.01935e-10 | Iterations/sec: 287773.85935 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00014 | LastNorm: 9.98134e-11 | Iterations/sec: 300591.78667 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     45 | TTime: 0.00488 | LastNorm: 7.20430e-10 | Iterations/sec: 279141.01560 | Convergence: true |
| 2 |Execution Info - Random | Iters:     94 | TTime: 0.00035 | LastNorm: 9.34639e-11 | Iterations/sec: 270229.31871 | Convergence: true |
Execution Info - Random | Iters:     99 | TTime: 0.00032 | LastNorm: 4.20780e-10 | Iterations/sec: 305545.32450 | Convergence: true |
Execution Info - Random | Iters:     90 | TTime: 0.00029 | LastNorm: 8.84568e-09 | Iterations/sec: 311458.21782 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00030 | LastNorm: 8.78844e-09 | Iterations/sec: 306900.29268 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 0.00026 | LastNorm: 9.36408e-11 | Iterations/sec: 317512.73271 | Convergence: true |
Execution Info - Random | Iters:     89 | TTime: 0.00031 | LastNorm: 9.37691e-11 | Iterations/sec: 287148.50462 | Convergence: true |
Execution Info - Random | Iters:     95 | TTime: 0.00030 | LastNorm: 9.34186e-11 | Iterations/sec: 311539.39015 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 0.00028 | LastNorm: 9.34183e-11 | Iterations/sec: 308456.84531 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00031 | LastNorm: 3.48581e-09 | Iterations/sec: 307603.65470 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.00033 | LastNorm: 9.34241e-11 | Iterations/sec: 281455.84829 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.00027 | LastNorm: 9.84025e-10 | Iterations/sec: 301431.13760 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.00022 | LastNorm: 9.34187e-11 | Iterations/sec: 281107.60851 | Convergence: true |
Execution Info - Random | Iters:     98 | TTime: 0.00032 | LastNorm: 9.62992e-11 | Iterations/sec: 309286.52521 | Convergence: true |
Execution Info - Random | Iters:    104 | TTime: 0.00037 | LastNorm: 1.68300e-09 | Iterations/sec: 279620.26667 | Convergence: true |
Execution Info - Random | Iters:    108 | TTime: 0.00038 | LastNorm: 9.34183e-11 | Iterations/sec: 287975.09981 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00027 | LastNorm: 9.34187e-11 | Iterations/sec: 295113.73791 | Convergence: true |
