----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/MARATOSB.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     39 | TTime: 0.14230 | LastNorm: 9.43247e-11 | Iterations/sec: 274.07275 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00013 | LastNorm: 9.38293e-11 | Iterations/sec: 358232.37011 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00011 | LastNorm: 1.07589e-10 | Iterations/sec: 416652.71523 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00011 | LastNorm: 9.34368e-11 | Iterations/sec: 405029.35622 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00011 | LastNorm: 1.92783e-09 | Iterations/sec: 379616.91832 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00009 | LastNorm: 9.35395e-11 | Iterations/sec: 453153.44724 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00010 | LastNorm: 9.58158e-11 | Iterations/sec: 436906.66667 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00010 | LastNorm: 1.78663e-10 | Iterations/sec: 408204.76886 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00009 | LastNorm: 9.39287e-11 | Iterations/sec: 489690.31472 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00011 | LastNorm: 9.40739e-11 | Iterations/sec: 454913.66594 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00009 | LastNorm: 9.84361e-11 | Iterations/sec: 430185.02564 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00010 | LastNorm: 5.40648e-09 | Iterations/sec: 452017.72431 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00009 | LastNorm: 9.47667e-11 | Iterations/sec: 425817.66497 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00011 | LastNorm: 9.34183e-11 | Iterations/sec: 402438.55011 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.00010 | LastNorm: 9.47406e-11 | Iterations/sec: 451103.63387 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00009 | LastNorm: 9.34183e-11 | Iterations/sec: 462364.22047 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00008 | LastNorm: 1.21398e-10 | Iterations/sec: 505337.83133 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.00010 | LastNorm: 9.34292e-11 | Iterations/sec: 438210.86567 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00010 | LastNorm: 9.41298e-11 | Iterations/sec: 427197.62963 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00009 | LastNorm: 9.34183e-11 | Iterations/sec: 450173.98953 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00009 | LastNorm: 5.23578e-09 | Iterations/sec: 449791.31367 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 0.00013 | LastNorm: 1.68296e-09 | Iterations/sec: 461827.69675 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 0.00012 | LastNorm: 9.86104e-11 | Iterations/sec: 457403.52263 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00012 | LastNorm: 1.68441e-09 | Iterations/sec: 473689.36345 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00010 | LastNorm: 1.68294e-09 | Iterations/sec: 454804.04819 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00009 | LastNorm: 1.68294e-09 | Iterations/sec: 511500.48780 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 0.00009 | LastNorm: 9.34183e-11 | Iterations/sec: 435358.13671 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.00010 | LastNorm: 9.34183e-11 | Iterations/sec: 490618.12844 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00009 | LastNorm: 1.01935e-10 | Iterations/sec: 469950.02801 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00010 | LastNorm: 9.98134e-11 | Iterations/sec: 429416.83810 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     45 | TTime: 0.00484 | LastNorm: 7.20430e-10 | Iterations/sec: 429396.03318 | Convergence: true |
| 2 |Execution Info - Random | Iters:     87 | TTime: 0.00022 | LastNorm: 2.13437e-09 | Iterations/sec: 388609.63578 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00018 | LastNorm: 1.00535e-10 | Iterations/sec: 433318.82384 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00008 | LastNorm: 9.59475e-10 | Iterations/sec: 430834.85196 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00017 | LastNorm: 9.37542e-11 | Iterations/sec: 455648.62396 | Convergence: true |
Execution Info - Random | Iters:     86 | TTime: 0.00019 | LastNorm: 3.62318e-09 | Iterations/sec: 462448.90256 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00017 | LastNorm: 9.35677e-11 | Iterations/sec: 470609.14446 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00006 | LastNorm: 7.13669e-11 | Iterations/sec: 394336.27350 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 0.00015 | LastNorm: 5.33345e-09 | Iterations/sec: 450789.68224 | Convergence: true |
Execution Info - Random | Iters:     70 | TTime: 0.00015 | LastNorm: 9.00723e-09 | Iterations/sec: 476625.45455 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00017 | LastNorm: 9.64526e-11 | Iterations/sec: 491068.65014 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 0.00017 | LastNorm: 1.73072e-09 | Iterations/sec: 452961.30154 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00016 | LastNorm: 2.33605e-10 | Iterations/sec: 490488.32384 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 0.00015 | LastNorm: 1.19877e-10 | Iterations/sec: 492664.27937 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00017 | LastNorm: 9.34183e-11 | Iterations/sec: 459649.75342 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 0.00017 | LastNorm: 1.68492e-09 | Iterations/sec: 428573.29700 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00014 | LastNorm: 2.27865e-10 | Iterations/sec: 462201.26316 | Convergence: true |
