----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/PENALTY1.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 1000
| 1 |Execution Info - Random | Iters:     61 | TTime: 3.31904 | LastNorm: 9.09286e-09 | Iterations/sec: 18.37883 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.86397 | LastNorm: 2.65737e-10 | Iterations/sec: 20.60081 | Convergence: true |
Execution Info - Random | Iters:     54 | TTime: 2.46618 | LastNorm: 4.36872e-10 | Iterations/sec: 21.89622 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 3.96458 | LastNorm: 6.43126e-09 | Iterations/sec: 21.94433 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 2.89806 | LastNorm: 7.44121e-09 | Iterations/sec: 20.70353 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.19816 | LastNorm: 1.34930e-10 | Iterations/sec: 22.51293 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 2.56112 | LastNorm: 1.63810e-09 | Iterations/sec: 20.30359 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.17986 | LastNorm: 2.49088e-09 | Iterations/sec: 22.64253 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 3.14561 | LastNorm: 2.00512e-10 | Iterations/sec: 20.98165 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 2.41505 | LastNorm: 1.37490e-09 | Iterations/sec: 21.53163 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 2.30651 | LastNorm: 9.56977e-10 | Iterations/sec: 21.67776 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.42552 | LastNorm: 6.49332e-09 | Iterations/sec: 21.85097 | Convergence: true |
Execution Info - Random | Iters:     65 | TTime: 3.10266 | LastNorm: 1.51531e-10 | Iterations/sec: 20.94978 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.67666 | LastNorm: 8.08450e-10 | Iterations/sec: 22.04237 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 3.55901 | LastNorm: 7.78010e-10 | Iterations/sec: 21.63524 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 2.71374 | LastNorm: 7.97122e-09 | Iterations/sec: 22.10967 | Convergence: true |
Execution Info - Random | Iters:     65 | TTime: 3.10219 | LastNorm: 1.38632e-09 | Iterations/sec: 20.95297 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 3.41416 | LastNorm: 1.87652e-09 | Iterations/sec: 21.38153 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 2.52385 | LastNorm: 6.91808e-10 | Iterations/sec: 21.79211 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 2.27305 | LastNorm: 2.55791e-09 | Iterations/sec: 21.55693 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 2.79236 | LastNorm: 2.26572e-09 | Iterations/sec: 22.20346 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 3.24906 | LastNorm: 2.10555e-09 | Iterations/sec: 21.23689 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.43287 | LastNorm: 7.88256e-09 | Iterations/sec: 21.78498 | Convergence: true |
Execution Info - Random | Iters:     70 | TTime: 3.29224 | LastNorm: 4.53478e-10 | Iterations/sec: 21.26214 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.36890 | LastNorm: 2.49174e-09 | Iterations/sec: 21.37197 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 2.94665 | LastNorm: 9.69651e-09 | Iterations/sec: 22.39829 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 2.60954 | LastNorm: 1.53785e-09 | Iterations/sec: 21.84291 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.36625 | LastNorm: 1.88022e-09 | Iterations/sec: 21.38879 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 3.18006 | LastNorm: 2.26046e-09 | Iterations/sec: 21.06880 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.36402 | LastNorm: 1.39007e-09 | Iterations/sec: 21.40296 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     63 | TTime: 2.95703 | LastNorm: 2.83812e-09 | Iterations/sec: 21.44689 | Convergence: true |
| 2 |Execution Info - Random | Iters:     55 | TTime: 2.55258 | LastNorm: 4.83372e-09 | Iterations/sec: 21.54679 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 2.71860 | LastNorm: 9.07750e-09 | Iterations/sec: 22.07017 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 2.88664 | LastNorm: 8.43591e-10 | Iterations/sec: 20.78538 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 2.22879 | LastNorm: 9.53872e-09 | Iterations/sec: 21.53639 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 2.20860 | LastNorm: 3.42662e-09 | Iterations/sec: 21.28049 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 3.15902 | LastNorm: 9.00073e-10 | Iterations/sec: 22.47534 | Convergence: true |
Execution Info - Random | Iters:     54 | TTime: 2.64485 | LastNorm: 1.85589e-10 | Iterations/sec: 20.41705 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 3.76570 | LastNorm: 2.94610e-09 | Iterations/sec: 21.77550 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 3.32577 | LastNorm: 8.89612e-09 | Iterations/sec: 21.34846 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 2.52265 | LastNorm: 2.82754e-10 | Iterations/sec: 21.80246 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 2.74129 | LastNorm: 5.53368e-09 | Iterations/sec: 22.25231 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 2.11767 | LastNorm: 1.73868e-09 | Iterations/sec: 21.24974 | Convergence: true |
Execution Info - Random | Iters:     64 | TTime: 3.04895 | LastNorm: 1.65623e-10 | Iterations/sec: 20.99083 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.67158 | LastNorm: 5.86124e-10 | Iterations/sec: 22.08429 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.42545 | LastNorm: 6.70397e-09 | Iterations/sec: 21.85161 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.35743 | LastNorm: 7.85866e-10 | Iterations/sec: 21.63372 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 2.82873 | LastNorm: 8.38663e-09 | Iterations/sec: 20.50391 | Convergence: true |
