----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/ROSENBR.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     29 | TTime: 0.15412 | LastNorm: 4.68909e-14 | Iterations/sec: 188.16132 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00018 | LastNorm: 9.39773e-14 | Iterations/sec: 157762.40726 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 3.10862e-15 | Iterations/sec: 233913.10769 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 4.74786e-14 | Iterations/sec: 216432.05694 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00013 | LastNorm: 4.45863e-13 | Iterations/sec: 220752.84211 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.68909e-14 | Iterations/sec: 237568.00000 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 4.72825e-14 | Iterations/sec: 222774.38828 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.68909e-14 | Iterations/sec: 258797.48085 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.96507e-14 | Iterations/sec: 263849.92625 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 6.58095e-14 | Iterations/sec: 266910.25455 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.68909e-14 | Iterations/sec: 273336.66517 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.70865e-14 | Iterations/sec: 245726.90101 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 2.22045e-15 | Iterations/sec: 247728.74949 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 3.77476e-15 | Iterations/sec: 245726.90101 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.68909e-14 | Iterations/sec: 263278.82251 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.68909e-14 | Iterations/sec: 243757.14629 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.68909e-14 | Iterations/sec: 243757.14629 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 4.74786e-14 | Iterations/sec: 228207.90994 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 3.10862e-15 | Iterations/sec: 254466.14226 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.70865e-14 | Iterations/sec: 243757.14629 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.76750e-14 | Iterations/sec: 265578.20087 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 4.68909e-14 | Iterations/sec: 221557.04189 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00013 | LastNorm: 2.88658e-15 | Iterations/sec: 216432.05694 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 4.68909e-14 | Iterations/sec: 250277.39918 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 2.22045e-16 | Iterations/sec: 239438.61417 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 9.67281e-14 | Iterations/sec: 251831.91718 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00012 | LastNorm: 3.10862e-15 | Iterations/sec: 243757.14629 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 4.63052e-14 | Iterations/sec: 256613.53586 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 1.88542e-13 | Iterations/sec: 256613.53586 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00011 | LastNorm: 3.10862e-15 | Iterations/sec: 254466.14226 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     29 | TTime: 0.00525 | LastNorm: 5.71507e-14 | Iterations/sec: 234175.25820 | Convergence: true |
| 2 |Execution Info - Random | Iters:     28 | TTime: 0.00015 | LastNorm: 3.17542e-09 | Iterations/sec: 189115.15620 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00013 | LastNorm: 6.27438e-09 | Iterations/sec: 212369.82278 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.00005e-09 | Iterations/sec: 256981.42670 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 3.13722e-09 | Iterations/sec: 266910.25455 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.15621e-09 | Iterations/sec: 256981.42670 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 4.63372e-09 | Iterations/sec: 250406.20896 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.18760e-09 | Iterations/sec: 264505.65766 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.11167e-09 | Iterations/sec: 254751.65293 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 1.78298e-09 | Iterations/sec: 269358.97248 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.17671e-09 | Iterations/sec: 264505.65766 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 3.15365e-09 | Iterations/sec: 280287.61814 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00011 | LastNorm: 5.12269e-09 | Iterations/sec: 252218.72606 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 2.81999e-09 | Iterations/sec: 259250.57837 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 3.22598e-09 | Iterations/sec: 282989.18554 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00010 | LastNorm: 8.24276e-09 | Iterations/sec: 280287.61814 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00011 | LastNorm: 3.18035e-09 | Iterations/sec: 262144.00000 | Convergence: true |
