----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/SINEVAL.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     38 | TTime: 0.16310 | LastNorm: 7.04524e-13 | Iterations/sec: 232.98998 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00021 | LastNorm: 1.50577e-11 | Iterations/sec: 151658.44972 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.00022 | LastNorm: 1.32325e-13 | Iterations/sec: 170463.69198 | Convergence: true |
Execution Info - Random | Iters:     37 | TTime: 0.00020 | LastNorm: 7.65645e-14 | Iterations/sec: 181295.85047 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.00023 | LastNorm: 1.39169e-11 | Iterations/sec: 164482.50980 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00016 | LastNorm: 1.53793e-10 | Iterations/sec: 193956.25434 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00016 | LastNorm: 1.07874e-17 | Iterations/sec: 212139.65318 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00019 | LastNorm: 2.84999e-14 | Iterations/sec: 189176.08247 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00014 | LastNorm: 3.32629e-17 | Iterations/sec: 242940.94719 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00014 | LastNorm: 9.94695e-16 | Iterations/sec: 239272.37584 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00014 | LastNorm: 2.55485e-10 | Iterations/sec: 230686.72000 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 1.81378e-10 | Iterations/sec: 252288.96241 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 3.51350e-10 | Iterations/sec: 244476.73588 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00015 | LastNorm: 1.13114e-09 | Iterations/sec: 232636.76346 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00012 | LastNorm: 2.71111e-19 | Iterations/sec: 271146.92525 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 1.70485e-17 | Iterations/sec: 242708.36890 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00014 | LastNorm: 1.55522e-15 | Iterations/sec: 236103.20530 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00012 | LastNorm: 9.21018e-09 | Iterations/sec: 273355.86151 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00012 | LastNorm: 2.63157e-14 | Iterations/sec: 266176.98462 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00013 | LastNorm: 3.42673e-14 | Iterations/sec: 248050.23656 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00013 | LastNorm: 6.89844e-19 | Iterations/sec: 259365.08834 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 1.81490e-12 | Iterations/sec: 254200.24242 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00017 | LastNorm: 1.76242e-14 | Iterations/sec: 208227.85816 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 9.57180e-11 | Iterations/sec: 249939.90317 | Convergence: true |
Execution Info - Random | Iters:     32 | TTime: 0.00013 | LastNorm: 3.87996e-12 | Iterations/sec: 252288.96241 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00014 | LastNorm: 1.11516e-15 | Iterations/sec: 244607.78045 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00016 | LastNorm: 5.08170e-16 | Iterations/sec: 212139.65318 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00015 | LastNorm: 2.19797e-10 | Iterations/sec: 233016.88889 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00015 | LastNorm: 8.00125e-20 | Iterations/sec: 219394.36308 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.00013 | LastNorm: 1.37897e-13 | Iterations/sec: 249841.21300 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     34 | TTime: 0.00558 | LastNorm: 3.87822e-10 | Iterations/sec: 220875.71740 | Convergence: true |
| 2 |Execution Info - Random | Iters:     78 | TTime: 0.00040 | LastNorm: 2.23557e-14 | Iterations/sec: 195433.51971 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00025 | LastNorm: 3.86918e-10 | Iterations/sec: 231025.29155 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 0.00030 | LastNorm: 1.21786e-15 | Iterations/sec: 247500.23603 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.00020 | LastNorm: 2.09708e-12 | Iterations/sec: 261515.35731 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00022 | LastNorm: 5.78473e-13 | Iterations/sec: 247783.80236 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00025 | LastNorm: 2.78240e-17 | Iterations/sec: 195920.77788 | Convergence: true |
Execution Info - Random | Iters:    136 | TTime: 0.00061 | LastNorm: 3.07768e-12 | Iterations/sec: 222214.78146 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00020 | LastNorm: 2.51683e-19 | Iterations/sec: 246144.60094 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 0.00035 | LastNorm: 6.49526e-09 | Iterations/sec: 214286.64850 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.00022 | LastNorm: 8.17473e-15 | Iterations/sec: 216628.88791 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00019 | LastNorm: 2.19714e-14 | Iterations/sec: 259441.48454 | Convergence: true |
Execution Info - Random | Iters:     54 | TTime: 0.00026 | LastNorm: 1.57504e-16 | Iterations/sec: 211675.15514 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00021 | LastNorm: 1.64943e-13 | Iterations/sec: 238977.78605 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00028 | LastNorm: 7.85626e-13 | Iterations/sec: 244607.78045 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00028 | LastNorm: 2.34070e-12 | Iterations/sec: 246297.64421 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 0.00040 | LastNorm: 2.06665e-13 | Iterations/sec: 199969.83464 | Convergence: true |
