----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/SISSER.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:     19 | TTime: 0.15369 | LastNorm: 5.54787e-09 | Iterations/sec: 123.62214 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00013 | LastNorm: 5.54787e-09 | Iterations/sec: 149515.52720 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00008 | LastNorm: 5.54787e-09 | Iterations/sec: 228999.35632 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00010 | LastNorm: 5.54787e-09 | Iterations/sec: 187952.30189 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00008 | LastNorm: 5.54787e-09 | Iterations/sec: 234387.57647 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 256243.65273 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00008 | LastNorm: 5.54787e-09 | Iterations/sec: 252989.76508 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00008 | LastNorm: 5.54787e-09 | Iterations/sec: 237177.90476 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 260430.64052 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 267422.06711 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 259582.33225 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 256243.65273 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 260430.64052 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 257070.24516 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 296251.95539 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 259582.33225 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 263880.05298 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 301862.78788 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 291911.26740 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 271060.46259 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 296251.95539 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 287695.94224 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 267422.06711 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 5.54787e-09 | Iterations/sec: 271060.46259 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 306506.83077 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 5.54787e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     19 | TTime: 0.00519 | LastNorm: 5.54787e-09 | Iterations/sec: 256961.40890 | Convergence: true |
| 2 |Execution Info - Random | Iters:     19 | TTime: 0.00010 | LastNorm: 4.44000e-09 | Iterations/sec: 193897.26521 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00009 | LastNorm: 4.44000e-09 | Iterations/sec: 204337.88718 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 268322.47811 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 267422.06711 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 283600.62633 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 260430.64052 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 267422.06711 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 306506.83077 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 300723.68302 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 296251.95539 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 271985.58362 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 297357.37313 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 306506.83077 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 300723.68302 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00006 | LastNorm: 4.44000e-09 | Iterations/sec: 300723.68302 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00007 | LastNorm: 4.44000e-09 | Iterations/sec: 267422.06711 | Convergence: true |
