----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/VARDIM.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 200
| 1 |Execution Info - Random | Iters:    142 | TTime: 0.57712 | LastNorm: 9.43026e-09 | Iterations/sec: 246.05105 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 0.11388 | LastNorm: 4.80190e-09 | Iterations/sec: 658.59949 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.05582 | LastNorm: 4.75606e-09 | Iterations/sec: 698.65058 | Convergence: true |
Execution Info - Random | Iters:    130 | TTime: 0.18804 | LastNorm: 9.57778e-09 | Iterations/sec: 691.34921 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 0.09529 | LastNorm: 9.63252e-09 | Iterations/sec: 692.59346 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.05484 | LastNorm: 9.44926e-09 | Iterations/sec: 692.98703 | Convergence: true |
Execution Info - Random | Iters:    107 | TTime: 0.15437 | LastNorm: 6.97909e-09 | Iterations/sec: 693.13955 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.08351 | LastNorm: 2.73325e-09 | Iterations/sec: 694.49454 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.08353 | LastNorm: 9.82055e-09 | Iterations/sec: 694.32804 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.07321 | LastNorm: 4.63907e-09 | Iterations/sec: 696.65336 | Convergence: true |
Execution Info - Random | Iters:    105 | TTime: 0.15201 | LastNorm: 9.18036e-09 | Iterations/sec: 690.73444 | Convergence: true |
Execution Info - Random | Iters:    128 | TTime: 0.18517 | LastNorm: 9.09411e-09 | Iterations/sec: 691.23823 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.06268 | LastNorm: 3.98398e-09 | Iterations/sec: 702.02363 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 0.11064 | LastNorm: 9.37787e-09 | Iterations/sec: 695.93853 | Convergence: true |
Execution Info - Random | Iters:    106 | TTime: 0.15376 | LastNorm: 8.11191e-09 | Iterations/sec: 689.39053 | Convergence: true |
Execution Info - Random | Iters:     91 | TTime: 0.13153 | LastNorm: 9.81577e-09 | Iterations/sec: 691.85211 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 0.08039 | LastNorm: 9.42216e-09 | Iterations/sec: 696.56088 | Convergence: true |
Execution Info - Random | Iters:    147 | TTime: 0.21250 | LastNorm: 8.70930e-09 | Iterations/sec: 691.77449 | Convergence: true |
Execution Info - Random | Iters:    153 | TTime: 0.22092 | LastNorm: 9.73257e-09 | Iterations/sec: 692.54317 | Convergence: true |
Execution Info - Random | Iters:    178 | TTime: 0.25763 | LastNorm: 9.35119e-09 | Iterations/sec: 690.92134 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.11887 | LastNorm: 3.75176e-09 | Iterations/sec: 689.84571 | Convergence: true |
Execution Info - Random | Iters:    141 | TTime: 0.20411 | LastNorm: 9.88666e-09 | Iterations/sec: 690.81075 | Convergence: true |
Execution Info - Random | Iters:    105 | TTime: 0.15195 | LastNorm: 9.39473e-09 | Iterations/sec: 691.01623 | Convergence: true |
Execution Info - Random | Iters:     33 | TTime: 0.04702 | LastNorm: 8.04659e-09 | Iterations/sec: 701.80116 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.07035 | LastNorm: 3.53992e-09 | Iterations/sec: 696.48740 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.10503 | LastNorm: 2.15925e-09 | Iterations/sec: 695.01387 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.07714 | LastNorm: 9.77851e-09 | Iterations/sec: 674.05656 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.06761 | LastNorm: 9.33393e-09 | Iterations/sec: 695.13131 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 0.10249 | LastNorm: 9.84237e-09 | Iterations/sec: 692.74442 | Convergence: true |
Execution Info - Random | Iters:    175 | TTime: 0.25320 | LastNorm: 7.61847e-09 | Iterations/sec: 691.14268 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     89 | TTime: 0.14149 | LastNorm: 7.73171e-09 | Iterations/sec: 676.99579 | Convergence: true |
| 2 |Execution Info - Random | Iters:     56 | TTime: 0.08614 | LastNorm: 6.55926e-09 | Iterations/sec: 650.10510 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.11439 | LastNorm: 8.72964e-09 | Iterations/sec: 699.38142 | Convergence: true |
Execution Info - Random | Iters:    141 | TTime: 0.20374 | LastNorm: 9.81086e-09 | Iterations/sec: 692.04514 | Convergence: true |
Execution Info - Random | Iters:    149 | TTime: 0.21539 | LastNorm: 8.75490e-09 | Iterations/sec: 691.77465 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 0.09956 | LastNorm: 5.97532e-09 | Iterations/sec: 693.08412 | Convergence: true |
Execution Info - Random | Iters:    128 | TTime: 0.18474 | LastNorm: 9.98276e-09 | Iterations/sec: 692.86898 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 0.08032 | LastNorm: 9.92287e-09 | Iterations/sec: 697.21839 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.13526 | LastNorm: 9.22546e-09 | Iterations/sec: 687.55446 | Convergence: true |
Execution Info - Random | Iters:    134 | TTime: 0.19773 | LastNorm: 9.41370e-09 | Iterations/sec: 677.69894 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 0.10987 | LastNorm: 6.44392e-09 | Iterations/sec: 691.75688 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.07080 | LastNorm: 6.54937e-09 | Iterations/sec: 692.10140 | Convergence: true |
Execution Info - Random | Iters:    109 | TTime: 0.15784 | LastNorm: 7.87809e-09 | Iterations/sec: 690.57685 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 0.12031 | LastNorm: 7.38909e-09 | Iterations/sec: 689.87861 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.13248 | LastNorm: 5.27721e-09 | Iterations/sec: 694.46993 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 0.10672 | LastNorm: 4.73224e-09 | Iterations/sec: 693.37096 | Convergence: true |
Execution Info - Random | Iters:    108 | TTime: 0.15640 | LastNorm: 6.28693e-09 | Iterations/sec: 690.54145 | Convergence: true |
Execution Info - Random | Iters:    156 | TTime: 0.22854 | LastNorm: 9.82726e-09 | Iterations/sec: 682.59118 | Convergence: true |
