----------------------------------------
Parameters           | Value               
----------------------------------------
NTRIES               | 6                   
epsilon              | 1.0e-8              
lqueue               | 3                   
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/WATSON.SIF
repetitions          | 30                  
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | 31                  
----------------------------------------
Number of variables: 31
Factor: 1.0
Execution Info - Oviedo | Iters:   1000 | TTime: 0.37447 | LastNorm: 9.82238e-05 | Iterations/sec: 2670.45452 | Convergence: false |
Execution Info - Grads  | Iters:   1000 | TTime: 0.15668 | LastNorm: 1.55039e-03 | Iterations/sec: 6382.55743 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06783 | LastNorm: 1.05879e-02 | Iterations/sec: 14742.30602 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.07197 | LastNorm: 9.53638e-03 | Iterations/sec: 13894.68105 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06747 | LastNorm: 7.17999e-03 | Iterations/sec: 14820.70508 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06676 | LastNorm: 1.79314e-02 | Iterations/sec: 14980.13865 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06695 | LastNorm: 1.23982e-02 | Iterations/sec: 14937.61842 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06717 | LastNorm: 3.37408e-03 | Iterations/sec: 14888.25390 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06698 | LastNorm: 2.05050e-02 | Iterations/sec: 14930.49316 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06690 | LastNorm: 5.87703e-03 | Iterations/sec: 14948.58544 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06694 | LastNorm: 5.99629e-03 | Iterations/sec: 14938.73568 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06687 | LastNorm: 2.30115e-03 | Iterations/sec: 14953.91505 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06679 | LastNorm: 9.15675e-03 | Iterations/sec: 14972.75898 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06602 | LastNorm: 3.21830e-02 | Iterations/sec: 15146.43016 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06637 | LastNorm: 1.61044e-02 | Iterations/sec: 15067.26251 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06630 | LastNorm: 7.78852e-03 | Iterations/sec: 15081.83659 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06649 | LastNorm: 8.79491e-03 | Iterations/sec: 15038.95359 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06627 | LastNorm: 5.99370e-03 | Iterations/sec: 15089.10706 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06650 | LastNorm: 7.35980e-03 | Iterations/sec: 15038.03695 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06661 | LastNorm: 5.99434e-03 | Iterations/sec: 15012.95373 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06642 | LastNorm: 1.05369e-02 | Iterations/sec: 15055.90455 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06640 | LastNorm: 9.52970e-03 | Iterations/sec: 15061.14872 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06635 | LastNorm: 2.21205e-03 | Iterations/sec: 15070.94400 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06616 | LastNorm: 5.77722e-03 | Iterations/sec: 15114.17329 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06609 | LastNorm: 1.14163e-02 | Iterations/sec: 15130.20266 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.06601 | LastNorm: 7.86601e-03 | Iterations/sec: 15149.00134 | Convergence: false |
